"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","species"
"28898",312.266314028589,-23.2857146596212,2.84209697835527,-8.19314570789091,2.54485783989935e-16,2.91233531198082e-12,"Campylobacter helveticus"
"1660078",751.346634479338,-25.1061996806467,3.22746200368099,-7.77892958987977,7.31407530250057e-15,2.79007592539388e-11,"Campylobacter sp. RM5004"
"3042300",74.4386777381905,22.5835068043602,2.89210840222943,7.80866539682655,5.77967128796308e-15,2.79007592539388e-11,"Vibrio sp. YMD68"
"849",131.093792720565,-21.0951088148586,2.83520562784242,-7.44041582300043,1.00368857273698e-13,1.85390286223938e-10,"Fusobacterium gonidiaformans"
"2070537",124.068357264843,-21.304250615063,2.85060920462243,-7.47357813218203,7.80430654414123e-14,1.85390286223938e-10,"Commensalibacter melissae"
"1230998",81.6367764139029,23.8830684489106,3.20373544689593,7.4547567502962,9.0033784834152e-14,1.85390286223938e-10,"Corynebacterium frankenforstense"
"133539",49.467602151506,23.7221492475008,3.19521380835405,7.42427601729751,1.13398462387938e-13,1.85390286223938e-10,"Nitrosococcus halophilus"
"1031542",114.875657901308,-20.6103862394162,2.78940881917683,-7.38880084472468,1.4815888307075e-13,2.11941282232708e-10,"Campylobacter volucris"
"43057",150.542566045911,27.6334129175083,3.76613984795262,7.33733053819832,2.17896019460391e-13,2.77066894078301e-10,"Cereibacter azotoformans"
"1625",63.9993845161776,22.9573553043372,3.17615500248664,7.228033671645,4.90037244245745e-13,4.70709791040251e-10,"Fructilactobacillus sanfranciscensis"
"3408576",59.4533224454987,25.4363565858768,3.51748897491359,7.23139625092975,4.78053237016036e-13,4.70709791040251e-10,"Brachybacterium sp. UNK5269"
"2589076",101.011776594504,26.9372980945555,3.72728542463346,7.2270553568364,4.93578949011099e-13,4.70709791040251e-10,"Paracoccus sp. AK26"
"689904",124.539843218447,-21.3039193295542,2.97913369268732,-7.15104507791895,8.6119701497811e-13,7.58118356877653e-10,"Tissierella carlieri"
"1702325",94.8554014809112,26.7857508254975,3.79716622052565,7.0541422918772,1.73668594688337e-12,1.41961671258095e-09,"Chelatococcus sp. CO-6"
"2527975",108.664871722422,26.8534169035131,3.81290772424192,7.0427660057921,1.88460576167903e-12,1.43782855577699e-09,"Kolteria novifilia"
"2864209",127.899163939028,27.134689898524,3.86203719316057,7.02600429290995,2.12531923669228e-12,1.4407795337023e-09,"Shewanella alkalitolerans"
"29401",66.8384356005773,26.3683086689099,3.75348222347896,7.0250255892967,2.14027019162347e-12,1.4407795337023e-09,"Pseudonocardia halophobica"
"1912",708.81538098204,28.7592927849509,4.10517708983353,7.00561563012063,2.4590214879884e-12,1.54971117701435e-09,"Streptomyces hygroscopicus"
