,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33
1352,1525.313638,2225.202943,2664.16816,2825.298392
5861,1466.928427,1488.637509,1523.545706,1699.967677
2761107,1265.012906,0,0,0
1492,608.1792815,1085.46485,692.5207756,646.4665813
1117645,428.1582142,527.2257844,1222.095486,993.6430786
2058762,515.7360307,1170.751374,896.2033567,933.7850618
288000,48.65434252,0,374.7759492,335.204894
911045,41.35619114,193.833009,0,0
1071379,673.8626439,1349.077743,1189.506273,861.9554417
1442551,287.0606209,170.5730479,0,838.012235
40324,323.5513778,449.6925808,496.9854978,790.1258216
28031,253.0025811,635.7722695,464.3962848,730.2678048
1325100,87.57781654,263.6128922,1425.778067,838.012235
145971,934.1633764,930.3984431,1034.707512,849.9838383
238834,1004.712173,1333.571102,1515.398403,1364.762783
1296,608.1792815,542.7324252,537.722014,957.7282685
197,1182.300523,961.4117246,1108.033241,646.4665813
48296,880.6435996,1426.610946,1238.390093,754.2110115
585,471.9471225,426.4326198,415.5124654,359.1481007
94643,464.6489711,783.0853563,651.7842594,550.6937544
907046,260.3007325,271.3662126,619.1950464,0
2306583,158.1266132,0,0,0
28197,532.7650506,682.2921916,855.4668405,849.9838383
316,180.0210673,488.4591826,358.4813427,1125.330716
27289,634.9391699,1310.311141,1108.033241,1149.273922
83637,107.0395535,139.5597665,1246.537396,814.0690283
1660078,87.57781654,0,0,119.7160336
1505,501.139728,1473.130868,1336.157732,1484.478816
5850,3979.925218,1077.71153,1148.769757,1412.649196
28116,576.5539589,1387.844344,545.8693173,694.3529947
5507,739.5460063,1783.263683,1246.537396,1364.762783
1314,997.4140217,248.1062515,236.271794,155.6308436
986,600.8811301,620.2656288,407.3651621,574.6369611
1624,506.0051622,503.9658234,317.7448265,909.8418551
5476,710.3534008,876.1252006,1165.064364,838.012235
35128,630.0737357,1325.817781,904.3506599,1616.166453
2653203,0,0,0,0
1397703,192.184653,1364.584383,773.993808,1268.989956
28108,386.802023,279.1195329,260.7137038,275.3468772
5141,547.3613534,1046.698249,1287.273912,1113.359112
40214,420.8600628,465.1992216,904.3506599,1029.557889
2704140,464.6489711,209.3396497,366.6286459,442.9493242
1307,391.6674573,837.3585988,733.2572918,778.1542182
253,552.2267876,1542.910752,1376.894248,1795.740504
1587,1128.780747,434.1859401,855.4668405,514.7789443
1639,496.2742937,1093.218171,896.2033567,1939.399744
5858,1177.435089,1434.364266,1645.755255,1867.570124
1197460,124.0685734,0,1018.412905,849.9838383
4779,1043.635647,721.0587934,1042.854815,706.3245981
644,739.5460063,480.7058623,448.1016783,718.2962014
384,474.3798396,759.8253952,912.4979632,1077.444302
42374,1021.741193,876.1252006,733.2572918,778.1542182
208452,866.0472969,984.6716856,749.5518983,838.012235
69781,199.4828043,519.4724641,692.5207756,658.4381846
1931238,143.5303104,488.4591826,472.5435881,1448.564006
1423,883.0763168,3109.081464,1458.36728,2561.923118
1775881,36.49075689,0,0,0
1590,921.9997908,1411.104305,521.4274075,670.409788
615,559.524939,852.8652395,985.8236924,1125.330716
34073,588.7175445,558.2390659,228.1244908,287.3184806
