taxonomy_id,name,taxonomy_lvl
3379134,Pseudomonadati,K
1783272,Bacillati,K
4751,Fungi,K
3366610,Methanobacteriati,K
3384189,Fusobacteriati,K
2731360,Heunggongvirae,K
3384194,Thermotogati,K
1783275,Thermoproteati,K
2732005,Bamfordvirae,K
2732397,Pararnavirae,K
2732396,Orthornavirae,K
1935183,Promethearchaeati,K
2732092,Shotokuvirae,K
1783276,Nanobdellati,K
2732093,Trapavirae,K
2840023,Zilligvirae,K
2732091,Sangervirae,K
3412606,Abadenavirae,K
