,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
83637,0,0,1081.390541,321.3574137,182.2679339,513.0836326,239.8145434
1660078,151.2084072,115.9584144,349.8616456,0,312.4593152,352.7449974,266.4606038
1505,940.8523114,565.2972703,1367.640978,1049.767551,1215.119559,1539.250898,1025.873325
5850,470.4261557,177.5613221,508.8896664,385.6288965,286.4210389,737.5577219,599.5363585
28116,361.2200838,300.7671374,0,792.6816205,616.239205,1507.183171,479.6290868
5507,890.449509,539.9313671,1208.612958,985.4960687,746.4305863,2180.605439,1079.165445
1314,218.4121437,318.8856396,0,0,355.8564423,994.0995382,386.3678755
986,1100.461186,804.4615,1335.835374,1649.634724,1371.349217,1218.573628,652.8284793
1624,697.2387665,420.3492522,1367.640978,942.6484136,477.3683982,897.8963571,492.952117
5476,856.8476407,518.1891644,1272.224166,1371.124965,1128.325305,1924.063622,999.2272642
35128,554.4308264,337.0041419,604.3064788,1478.244103,807.1865642,737.5577219,626.1824189
2653203,1974.109761,1855.334631,0,0,0,0,0
1397703,100.8056048,86.96881081,0,235.6621034,364.5358677,577.2190867,386.3678755
28108,747.6415689,3101.887586,540.6952705,899.8007584,225.665061,1218.573628,466.3060566
5141,1990.910695,862.4407072,2162.781082,1821.025344,1084.928178,1763.724987,1785.286045
40214,604.8336287,355.1226441,985.9737286,835.5292757,598.8803541,1090.302719,626.1824189
2704140,100.8056048,97.83991216,0,0,130.1913813,0,146.5533321
1307,520.8289581,329.756741,1367.640978,514.1718619,876.6219676,2533.350436,1372.27211
253,470.4261557,427.5966532,1335.835374,985.4960687,1084.928178,1891.995895,1079.165445
1587,991.2551138,387.7359482,604.3064788,1628.210896,1362.669791,1218.573628,1851.901196
1639,445.2247545,431.2203536,699.7232912,749.8339653,885.301393,1122.370446,1518.825442
5858,2226.123772,905.9251126,0,3363.54093,937.3779456,0,746.0896906
1197460,0,0,1176.807353,0,0,0,359.7218151
4779,991.2551138,543.5550676,1240.418562,1306.853482,824.5454151,1635.454079,1025.873325
644,1982.510228,1858.958331,2226.39229,3577.779206,2482.315671,3110.569523,1239.041808
384,1167.664922,866.0644077,1590.280207,1756.753862,1006.813349,1956.131349,706.1206001
42374,1243.269126,771.8481959,954.1681244,1863.873,1709.846808,1314.776809,1918.516347
208452,1066.859317,626.9001779,1590.280207,1328.27731,1327.95209,1956.131349,2105.03877
69781,520.8289581,344.2515428,0,664.138655,251.7033372,673.4222678,479.6290868
1931238,898.8499761,2728.646439,0,985.4960687,104.1531051,0,293.1066642
1423,0,242.7879302,0,0,616.239205,0,732.7666604
1775881,2520.14012,2565.579919,0,0,0,0,0
1590,974.4541797,561.6735698,1431.252187,1242.582,980.7750727,1378.912263,959.2581737
615,579.6322276,489.1995608,0,1092.615207,1032.851625,1378.912263,892.6430227
34073,562.8312934,423.9729527,890.5569161,1585.363241,564.1626524,0,479.6290868
5854,1512.084072,760.9770946,1081.390541,1435.396448,1180.401857,2052.334531,466.3060566
446,1478.482204,873.3118086,2035.558665,1842.449172,1215.119559,2276.80862,1425.56423
913109,0,1532.825291,0,0,0,0,159.8763623
1159556,1260.07006,739.2348919,795.1401037,1456.820276,590.2009287,897.8963571,732.7666604
5127,1486.882671,851.5696059,2449.031519,1456.820276,972.0956473,2212.673166,1825.255136
1501,1159.264455,728.3637905,1463.057791,1221.158172,1805.320488,1827.860441,2731.221189
5855,982.8546467,420.3492522,1971.947457,814.1054481,1735.885084,1507.183171,1132.457566
