"","NMDS1","NMDS2"
"072023_Carolina_2023_Baya_053_MCAV_S3",-0.0211277701536665,0.153908172255192
"072023_Carolina_2023_Baya_055_MCAV_S4",0.199536023256189,-0.0642749470616362
"122021_Coralina_2021_Baya_003_MCAV_S27",0.00732265386224046,0.387654123766755
"122021_Coralina_2021_Baya_005_MCAV_S28",0.0441105436479478,0.0879012717312977
"122021_Coralina_2021_Baya_007_MCAV_S29",0.139486345122584,0.105360212241963
"122021_Coralina_2021_Baya_017_MCAV_S30",-0.0244163673823688,0.0158901801994562
"122021_Coralina_2021_Baya_023_MCAV_S31",0.058626632039634,0.175157690756793
"072023_Carolina_2023_Baya_052_DCYL_S9",-0.496783335253604,-0.133613592319317
"072023_Carolina_2023_Baya_065_DCYL_S1",-0.0858144886265218,0.239880067837423
"072023_Carolina_2023_Baya_066_DCYL_S2",0.185358342047425,-0.0764866485883313
"122021_Coralina_2021_Baya_001_DCYL_S24",0.15215991654348,-0.0751153960567549
"122021_Coralina_2021_Baya_009_DCYL_S25",0.0843781765639465,0.269990232527237
"122021_Coralina_2021_Baya_010_DCYL_S26",0.262858073875366,0.216231718349021
"122021_Coralina_2021_Baya_025_MMEA_S22",0.24710754444939,-0.224926835038247
"122021_Coralina_2021_Baya_029_MMEA_S23",0.17815380262762,-0.203146158320837
"122021_Coralina_2021_Baya_031_MMEA_S45",0.235954065995159,-0.207066255798526
"072023_Carolina_2023_Baya_057_SSID_S7",0.0201064684463889,-0.000465878440191365
"072023_Carolina_2023_Baya_059_SSID_S8",0.0205846715032832,-0.0100883349355467
"072023_Carolina_2023_Baya_061_SSID_S5",0.189309136797828,-0.108949069549654
"072023_Carolina_2023_Baya_063_SSID_S6",0.226928446730484,-0.123434977623781
"122021_Coralina_2021_Baya_019_SSID1_S46",0.192103889637593,-0.0939848514304822
"122021_Coralina_2021_Baya_021_SSID2_S36",-0.672206282730461,-0.128831567565145
"122021_Coralina_2021_Baya_027_PSTR4_S34",-0.480968679202739,-0.213573041218524
"122021_Coralina_2021_Baya_033_PSTR7_S35",-0.283910776715011,0.257685565930999
"122021_Coralina_2021_Baya_035_PSTR_S32",-0.22349045675428,-0.15474100369794
"122021_Coralina_2021_Baya_037_PSTR_S33",-0.323268736195292,0.123334376960991
"122021_Coralina_2021_Baya_013_DLAB_S43",0.107872152613402,-0.114853844658786
"122021_Coralina_2021_Baya_015_DLAB_S44",0.0600300072539839,-0.0994412102534282
