Gene_Family,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
1.2.1.9-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) [1.2.1.9],0,16.2038,0,0,0,0
1.2.3.3-RXN: (expasy) Pyruvate oxidase [1.2.3.3],0,0,0,0,0,0
1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4],24.0954,156.923,0,52.5681,0,0
1.2.7.4-RXN: (expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4],0,68.1594,0,0,164.751,0
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8],0,0,0,0,0,0
1.2.99.3-RXN: (expasy) Aldehyde dehydrogenase (quinone) [1.2.5.2],0,0,0,0,0,0
1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1],0,14.2075,0,0,0,0
1.21.4.1-RXN: (expasy) D-proline reductase [1.21.4.1],0,61.4956,0,0,0,0
1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3],0,33.6462,0,0,0,0
1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4],0,19.1697,0,0,0,0
1.3.1.2-RXN: (expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2],0,0,0,0,0,0
1.3.1.54-RXN: (expasy) Precorrin-6A reductase [1.3.1.54],0,0,0,0,0,0
"1.3.1.56-RXN: (expasy) Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [1.3.1.56]",0,0,0,0,0,0
"1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]",0,0,0,0,0,0
1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3],0,0,0,0,0,0
1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5],0,0,0,0,0,0
1.3.99.15-RXN: (expasy) Benzoyl-CoA reductase [1.3.7.8],0,7.21746,0,0,0,0
1.3.99.16-RXN: (expasy) Isoquinoline 1-oxidoreductase [1.3.99.16],0,31.0987,0,0,0,0
1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21],0,0,0,0,0,0
1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3],0,16.5101,0,0,0,0
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20],29.9862,162.427,97.9083,119.053,0,75.2595
"1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]",0,0,0,0,31.8166,0
"1.5.1.7-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]",0,0,0,0,0,0
"1.5.1.8-RXN: (expasy) Saccharopine dehydrogenase (NADP(+), L-lysine-forming) [1.5.1.8]",0,0,0,0,0,0
"1.5.1.9-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-glutamate-forming) [1.5.1.9]",0,0,0,0,0,0
1.5.5.1-RXN-YEAST: (expasy) Electron-transferring-flavoprotein dehydrogenase [1.5.5.1],0,31.7207,0,0,0,0
1.5.8.2-RXN: (expasy) Trimethylamine dehydrogenase [1.5.8.2],0,8.52788,0,0,0,0
1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8],0,20.6966,0,0,0,0
1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2],0,36.3308,0,0,0,0
1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3],0,77.2252,0,0,0,0
1.8.1.15-RXN: (expasy) Mycothione reductase [1.8.1.15],0,0,0,0,0,0
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4],40.1161,344.385,142.246,113.634,176.897,211.885
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12],0,62.8201,53.1777,80.3758,55.9035,87.7685
1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8],0,63.0712,130.167,0,0,0
1.8.98.1-RXN: (expasy) Dihydromethanophenazine:CoB--CoM heterodisulfide reductase [1.8.98.1],0,0,0,0,0,0
"13-PROPANEDIOL-DEHYDROGENASE-RXN: (expasy) 1,3-propanediol dehydrogenase [1.1.1.202]",0,24.5897,0,0,0,0
1PFRUCTPHOSN-RXN: (expasy) 1-phosphofructokinase [2.7.1.56],0,0,0,0,0,0
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1],0,249.795,61.2607,0,65.076,0
"2-CHLOROBENZOATE-12-DIOXYGENASE-RXN: (expasy) 2-halobenzoate 1,2-dioxygenase [1.14.12.13]",0,8.92609,0,0,0,0
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169],0,23.2982,40.2709,0,0,0
2-HALOACID-DEHALOGENASE-RXN: (expasy) AMBIGUOUS [3.8.1.10; 3.8.1.2],0,0,0,0,0,0
2-HYDROXY-3-OXOADIPATE-SYNTHASE-RXN: (expasy) 2-hydroxy-3-oxoadipate synthase [2.2.1.5],0,0,0,0,0,0
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN: (expasy) L-2-hydroxyglutarate dehydrogenase [1.1.99.2],0,0,0,0,0,0
2-ISOPROPYLMALATESYN-RXN: (expasy) 2-isopropylmalate synthase [2.3.3.13],22.3227,166.042,51.6781,50.8801,103.579,0
2-METHYLCITRATE-DEHYDRATASE-RXN: (expasy) 2-methylcitrate dehydratase [4.2.1.79],0,45.9729,0,0,0,0
2-METHYLCITRATE-SYNTHASE-RXN: (expasy) 2-methylcitrate synthase [2.3.3.5],0,64.8329,0,0,0,0
2-NITROPROPANE-DIOXYGENASE-RXN: (expasy) Nitronate monooxygenase [1.13.12.16],0,0,0,0,0,0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: (metacyc) 2-octaprenyl-6-hydroxyphenyl methylase [2.1.1.222],0,8.19038,23.3158,0,0,0
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]",0,61.7257,0,0,55.9022,0
2-OXOGLUTARATE-SYNTHASE-RXN: (expasy) 2-oxoglutarate synthase [1.2.7.3],0,137.477,0,0,152.459,0
2-OXOPENT-4-ENOATE-HYDRATASE-RXN: (expasy) 2-oxopent-4-enoate hydratase [4.2.1.80],0,17.1848,0,0,0,0
2.1.1.113-RXN: (expasy) Site-specific DNA-methyltransferase (cytosine-N(4)-specific) [2.1.1.113],0,0,0,0,0,0
2.1.1.130-RXN: (expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130],0,8.74959,0,0,0,0
2.1.1.131-RXN: (expasy) Precorrin-3B C(17)-methyltransferase [2.1.1.131],0,0,0,0,0,0
"2.1.1.132-RXN: (expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]",0,0,0,0,0,0
2.1.1.133-RXN: (expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133],0,10.8216,0,0,0,0
2.1.1.137-RXN: (expasy) Arsenite methyltransferase [2.1.1.137],0,0,0,0,0,0
2.1.1.151-RXN: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151],0,0,0,0,0,0
2.1.1.34-RXN: (expasy) tRNA (guanosine(18)-2'-O)-methyltransferase [2.1.1.34],0,69.8396,0,0,0,0
2.1.1.44-RXN: (expasy) L-histidine N(alpha)-methyltransferase [2.1.1.44],0,0,41.6596,0,0,0
2.1.1.5-RXN: (expasy) Betaine--homocysteine S-methyltransferase [2.1.1.5],0,0,0,0,0,0
2.1.1.63-RXN: (expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63],0,23.9667,0,0,0,0
2.1.1.64-RXN: (expasy) 3-demethylubiquinol 3-O-methyltransferase [2.1.1.64],0,24.2899,23.3158,0,0,0
2.1.1.72-RXN: (expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72],12.8739,194.129,76.7747,149.504,76.7254,0
2.1.1.74-RXN: (expasy) (NAD(P)H-oxidizing) [2.1.1.74],0,26.7803,0,0,0,0
2.1.1.77-RXN: (expasy) Protein-L-isoaspartate(D-aspartate) O-methyltransferase [2.1.1.77],0,58.5187,0,0,0,0
2.1.1.79-RXN: (expasy) Cyclopropane-fatty-acyl-phospholipid synthase [2.1.1.79],0,0,0,0,0,0
2.1.3.1-RXN: (expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1],0,35.995,0,0,0,0
2.1.3.9-RXN: (expasy) N-acetylornithine carbamoyltransferase [2.1.3.9],0,0,0,0,0,0
2.3.1.101-RXN: (expasy) Formylmethanofuran--tetrahydromethanopterin N-formyltransferase [2.3.1.101],0,0,0,0,0,0
2.3.1.128-RXN: (expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266],0,0,0,0,0,0
2.3.1.154-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176],0,0,0,0,0,0
2.3.1.157-RXN: (expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157],0,103.867,0,0,0,0
2.3.1.168-RXN: (expasy) Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase [2.3.1.168],0,15.6504,0,0,0,0
2.3.1.176-RXN: (expasy) Propanoyl-CoA C-acyltransferase [2.3.1.176],0,0,0,0,0,0
2.3.1.179-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase II [2.3.1.179],14.1054,155.758,0,0,72.1716,0
2.3.1.180-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase III [2.3.1.180],0,141.982,0,59.6122,0,0
2.3.1.184-RXN: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184],0,0,0,0,0,0
2.3.1.41-RXN: (expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase I [2.3.1.41],0,293.217,0,109.576,57.544,0
2.3.1.89-RXN: (expasy) Tetrahydrodipicolinate N-acetyltransferase [2.3.1.89],0,0,0,0,0,0
2.3.2.13-RXN: (expasy) Protein-glutamine gamma-glutamyltransferase [2.3.2.13],0,0,0,0,0,0
2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129],0,84.2934,0,0,0,0
2.4.1.135-RXN: (expasy) Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase [2.4.1.135],0,0,0,0,0,0
"2.4.1.157-RXN: (expasy) 1,2-diacylglycerol 3-alpha-glucosyltransferase [2.4.1.337]",0,0,0,0,0,0
"2.4.1.211-RXN: (expasy) 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [2.4.1.211]",0,0,0,0,0,0
2.4.1.213-RXN: (expasy) Glucosylglycerol-phosphate synthase [2.4.1.213],0,0,0,0,0,0
2.4.1.244-RXN: (expasy) acetylgalactosaminyltransferase [2.4.1.244],0,0,0,0,0,0
2.4.1.32-RXN: (expasy) Glucomannan 4-beta-mannosyltransferase [2.4.1.32],0,0,0,0,0,0
2.4.1.54-RXN: (expasy) Undecaprenyl-phosphate mannosyltransferase [2.4.1.54],0,0,0,0,0,0
2.4.1.83-RXN: (expasy) Dolichyl-phosphate beta-D-mannosyltransferase [2.4.1.83],23.284,0,0,0,0,0
2.4.2.12-RXN: (expasy) Nicotinamide phosphoribosyltransferase [2.4.2.12],0,0,0,0,0,0
2.4.2.31-RXN: (expasy) NAD(+)--protein-arginine ADP-ribosyltransferase [2.4.2.31],0,0,0,0,0,0
2.4.2.37-RXN: (expasy) NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase [2.4.2.37],0,0,0,0,0,0
2.5.1.19-RXN: (expasy) 3-phosphoshikimate 1-carboxyvinyltransferase [2.5.1.19],0,46.2432,56.879,0,0,0
2.5.1.39-RXN: (expasy) 4-hydroxybenzoate polyprenyltransferase [2.5.1.39],0,22.9897,0,0,0,0
2.5.1.44-RXN: (expasy) Homospermidine synthase [2.5.1.44],0,0,0,0,0,0
2.5.1.46-RXN: (expasy) Deoxyhypusine synthase [2.5.1.46],0,30.3117,0,54.2736,0,0
2.5.1.64-RXN: (expasy) synthase [2.2.1.9],0,0,0,0,0,0
"2.5.1.68-RXN: (expasy) (2Z,6E)-farnesyl diphosphate synthase [2.5.1.68]",0,0,0,0,0,0
2.6.1.18-RXN: (expasy) Beta-alanine--pyruvate transaminase [2.6.1.18],0,20.8291,0,0,0,0
2.6.1.37-RXN: (metacyc) phosphonoacetaldehyde transaminase [2.6.1.37],0,16.2241,0,0,0,0
2.6.1.50-RXN: (expasy) Glutamine--scyllo-inositol transaminase [2.6.1.50],0,0,0,0,0,0
2.6.1.57-RXN: (expasy) Aromatic-amino-acid transaminase [2.6.1.57],0,0,0,0,0,0
2.6.1.82-RXN: (expasy) Putrescine--2-oxoglutarate transaminase [2.6.1.82],0,0,0,0,0,0
2.7.1.121-RXN: (expasy) Phosphoenolpyruvate--glycerone phosphotransferase [2.7.1.121],0,35.5292,0,0,0,0
2.7.1.148-RXN: (expasy) 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148],0,39.7843,0,0,0,0
2.7.1.156-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156],0,0,0,0,0,0
2.7.1.63-RXN: (expasy) Polyphosphate--glucose phosphotransferase [2.7.1.63],0,0,0,0,0,0
2.7.1.90-RXN: (expasy) Diphosphate--fructose-6-phosphate 1-phosphotransferase [2.7.1.90],0,0,115.06,0,0,0
2.7.11.24-RXN: (expasy) Mitogen-activated protein kinase [2.7.11.24],0,0,0,0,0,0
2.7.11.30-RXN: (expasy) Receptor protein serine/threonine kinase [2.7.11.30],0,0,0,0,0,0
2.7.12.1-RXN: (expasy) cAMP-dependent protein kinase [2.7.11.11],0,0,0,0,0,0
2.7.13.3-RXN: (expasy) Histidine kinase [2.7.13.3],0,528.023,0,0,0,122.602
2.7.3.9-RXN: (expasy) Phosphoenolpyruvate--protein phosphotransferase [2.7.3.9],0,171.239,0,0,0,0
2.7.7.1-RXN: (expasy) Nicotinamide-nucleotide adenylyltransferase [2.7.7.1],0,0,0,0,0,0
2.7.7.13-RXN: (expasy) Mannose-1-phosphate guanylyltransferase [2.7.7.13],0,40.5747,37.3167,0,0,0
2.7.7.15-RXN: (expasy) Choline-phosphate cytidylyltransferase [2.7.7.15],0,0,0,0,0,0
2.7.7.33-RXN: (expasy) Glucose-1-phosphate cytidylyltransferase [2.7.7.33],0,14.3271,0,0,0,0
2.7.7.60-RXN: (expasy) 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [2.7.7.60],0,74.6543,0,0,0,0
2.7.7.8-RXN: (expasy) Polyribonucleotide nucleotidyltransferase [2.7.7.8],0,173.049,0,0,0,0
2.7.8.11-RXN: (expasy) CDP-diacylglycerol--inositol 3-phosphatidyltransferase [2.7.8.11],0,0,0,0,0,0
2.7.8.24-RXN: (expasy) Phosphatidylcholine synthase [2.7.8.24],0,0,0,0,0,0
2.7.8.25-RXN: (expasy) Triphosphoribosyl-dephospho-CoA synthase [2.4.2.52],0,23.8608,0,0,0,0
2.7.8.6-RXN: (expasy) Undecaprenyl-phosphate galactose phosphotransferase [2.7.8.6],0,10.6698,0,0,0,0
"2.7.9.3-RXN: (expasy) Selenide, water dikinase [2.7.9.3]",47.238,59.5849,89.5386,119.41,53.5325,0
2.8.1.6-RXN: (expasy) Biotin synthase [2.8.1.6],21.0665,178.106,0,0,0,0
