Gene_Family,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36
1.2.1.61-RXN: (expasy) 4-hydroxymuconic-semialdehyde dehydrogenase [1.2.1.61],0,0,0,0,0,0
1.2.1.66-RXN: (expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306],0,0,0,6.39599,0,0
1.2.1.9-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) [1.2.1.9],0,0,0,12.9409,0,0
1.2.3.3-RXN: (expasy) Pyruvate oxidase [1.2.3.3],0,0,0,0,0,0
1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4],28.6751,0,33.8331,132.445,34.0705,0
1.2.7.4-RXN: (expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4],0,0,17.0399,49.8647,0,0
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8],0,0,0,24.1189,0,0
1.2.99.3-RXN: (expasy) Aldehyde dehydrogenase (quinone) [1.2.5.2],0,0,0,1.56011,0,0
1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1],0,0,6.9423,3.65077,0,0
1.21.4.1-RXN: (expasy) D-proline reductase [1.21.4.1],0,0,0,0,0,0
1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3],0,0,0,0,0,0
1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4],0,0,0,0,0,0
1.3.1.2-RXN: (expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2],0,0,0,0,14.8774,0
1.3.1.54-RXN: (expasy) Precorrin-6A reductase [1.3.1.54],0,0,0,10.3576,0,0
"1.3.1.56-RXN: (expasy) Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [1.3.1.56]",0,0,0,4.75733,0,0
"1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]",0,0,46.7929,17.2374,29.0665,0
