Gene_Family,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36
DLACTDEHYDROGNAD-RXN: (expasy) D-lactate dehydrogenase [1.1.1.28],0,27.1011,80.5477,19.0698,0,0
DMBPPRIBOSYLTRANS-RXN: (expasy) Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [2.4.2.21],0,0,26.4923,36.4125,0,0
"DMK-RXN: (expasy) 1,4-dihydroxy-2-naphthoate polyprenyltransferase [2.5.1.74]",0,0,4.38381,46.5986,26.7168,0
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN: (expasy) DNA (cytosine-5-)-methyltransferase [2.1.1.37],0,0,0,18.6432,58.5531,0
DNA-DIRECTED-DNA-POLYMERASE-RXN: (expasy) DNA-directed DNA polymerase [2.7.7.7],147.61,191.99,508.31,946.336,539.513,3.0786
DNA-DIRECTED-RNA-POLYMERASE-RXN: (expasy) DNA-directed RNA polymerase [2.7.7.6],260.264,840.97,523.308,1216.64,1229.72,2.45304
DNA-LIGASE-NAD+-RXN: (expasy) AMBIGUOUS [6.5.1.2; 6.5.1.6],22.8636,18.5907,41.5942,133.577,56.8197,0
DSERDEAM-RXN: (expasy) D-serine ammonia-lyase [4.3.1.18],0,0,0,0,0,0
"DTDPDEHYDRHAMEPIM-RXN: (expasy) dTDP-4-dehydrorhamnose 3,5-epimerase [5.1.3.13]",0,13.0702,139.505,62.0213,0,0
DTDPDEHYRHAMREDUCT-RXN: (expasy) dTDP-4-dehydrorhamnose reductase [1.1.1.133],0,0,128.247,40.2465,11.4917,0
"DTDPGLUCDEHYDRAT-RXN: (expasy) dTDP-glucose 4,6-dehydratase [4.2.1.46]",25.3441,35.0725,102.554,232.271,41.5662,4.69408
DTDPGLUCOSEPP-RXN: (expasy) Glucose-1-phosphate thymidylyltransferase [2.7.7.24],65.3918,0,170.641,194.148,131.178,0
DTDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6],81.8202,36.0515,149.789,221.954,96.4778,2.76693
DTMPKI-RXN: (expasy) AMBIGUOUS [2.7.4.12; 2.7.4.13; 2.7.4.9],0,0,61.5978,89.3524,182.641,0
DUDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6],81.8202,36.0515,149.789,221.954,96.4778,2.76693
DURIDKI-RXN: (expasy) AMBIGUOUS [2.7.1.145; 2.7.1.21],13.0101,0,19.6728,173.878,85.5929,0
DUTP-PYROP-RXN: (expasy) AMBIGUOUS [3.6.1.23; 3.6.1.9],0,281.795,9.35748,34.9243,108.448,0
DXPREDISOM-RXN: (expasy) 1-deoxy-D-xylulose-5-phosphate reductoisomerase [1.1.1.267],23.4492,0,54.837,96.1157,43.691,1.67261
DXS-RXN: (expasy) 1-deoxy-D-xylulose-5-phosphate synthase [2.2.1.7],21.445,83.6502,158.413,228.085,139.925,0
ENOYL-ACP-REDUCT-NADH-RXN: (expasy) Enoyl-[acyl-carrier-protein] reductase (NADH) [1.3.1.9],20.7361,15.8357,167.759,247.519,33.7234,0
ENOYL-COA-DELTA-ISOM-RXN: (expasy) Delta(3)-Delta(2)-enoyl-CoA isomerase [5.3.3.8],0,0,10.5094,15.5563,0,0
ENOYL-COA-HYDRAT-RXN: (expasy) Enoyl-CoA hydratase [4.2.1.17],59.7111,52.0658,250.029,774.346,784.801,0
ENTDB-RXN: (expasy) Holo-[acyl-carrier-protein] synthase [2.7.8.7],45.4707,35.9528,109.446,142.159,174.787,0
ENZRXN-201-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2],0,0,27.0821,0,0,0
ERYTH4PDEHYDROG-RXN: (expasy) Erythrose-4-phosphate dehydrogenase [1.2.1.72],0,20.5398,20.5182,0,0,0
ERYTHRITOL-KINASE-RXN: (expasy) Erythritol kinase (D-erythritol 4-phosphate-forming) [2.7.1.27],0,0,0,0,35.7294,0
ERYTHRON4PDEHYDROG-RXN: (expasy) 4-phosphoerythronate dehydrogenase [1.1.1.290],0,0,0,19.3225,50.1165,0
ETHAMLY-RXN: (expasy) Ethanolamine ammonia-lyase [4.3.1.7],0,0,10.2038,5.62894,18.9759,0
EXOPOLYPHOSPHATASE-RXN: (expasy) Exopolyphosphatase [3.6.1.11],26.551,26.9142,5.96794,0,55.5596,0
F16ALDOLASE-RXN: (expasy) Fructose-bisphosphate aldolase [4.1.2.13],68.647,238.331,204.389,294.951,320.227,9.66839
F16BDEPHOS-RXN: (expasy) Fructose-bisphosphatase [3.1.3.11],0,39.9057,160.213,139.271,109.535,0
FADSYN-RXN: (expasy) FAD synthase [2.7.7.2],0,0,23.4161,49.2753,15.5167,0
FARNESYLTRANSTRANSFERASE-RXN: (expasy) Geranylgeranyl diphosphate synthase [2.5.1.29],22.472,0,50.9668,30.4117,0,0
FATTY-ACYL-COA-SYNTHASE-RXN: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86],0,0,0,25.7632,0,0
FERREDOXIN--NITRITE-REDUCTASE-RXN: (expasy) Ferredoxin--nitrite reductase [1.7.7.1],0,0,0,2.68074,0,0
FGAMSYN-RXN: (expasy) Phosphoribosylformylglycinamidine synthase [6.3.5.3],150.448,128.699,413.968,400.274,200.6,0
FLAVONADPREDUCT-RXN: (expasy) Flavodoxin--NADP(+) reductase [1.19.1.1],0,0,14.665,23.1884,0,0
FMNREDUCT-RXN: (expasy) FMN reductase (NAD(P)H) [1.5.1.39],0,0,0,4.77045,0,0
FOLYLPOLYGLUTAMATESYNTH-RXN: (expasy) Tetrahydrofolate synthase [6.3.2.17],0,0,0,22.2293,0,0
FORMAMIDASE-RXN: (expasy) Formamidase [3.5.1.49],0,0,166.927,27.2053,119.224,2.52315
FORMATEDEHYDROG-RXN: (metacyc) formate dehydrogenase (menaquinone) [1.17.5.3],0,0,0,0,0,0
FORMATETHFLIG-RXN: (expasy) Formate--tetrahydrofolate ligase [6.3.4.3],117.184,41.2931,161.243,352.616,155.647,0
FORMIMINOGLUTAMASE-RXN: (expasy) Formimidoylglutamase [3.5.3.8],0,0,0,3.73979,0,0
FORMIMINOGLUTAMATE-DEIMINASE-RXN: (expasy) Formimidoylglutamate deiminase [3.5.3.13],0,0,0,7.90454,0,0
FORMYLMETHANOFURAN-DEHYDROGENASE-RXN: (expasy) Formylmethanofuran dehydrogenase [1.2.7.12],0,0,0,0,0,0
FORMYLMETHIONINE-DEFORMYLASE-RXN: (expasy) Formylmethionine deformylase [3.5.1.31],0,0,0,0,0,0
FORMYLTHFDEFORMYL-RXN: (expasy) Formyltetrahydrofolate deformylase [3.5.1.10],0,0,34.0521,60.2009,63.749,0
FORMYLTHFGLUSYNTH-RXN: (expasy) Tetrahydrofolate synthase [6.3.2.17],0,0,0,22.2293,0,0
"FPPSYN-RXN: (expasy) (2E,6E)-farnesyl diphosphate synthase [2.5.1.10]",0,0,42.7608,43.5787,0,0
FRUCTOKINASE-RXN: (expasy) Fructokinase [2.7.1.4],0,0,8.05492,26.0115,0,0
FRUCTOSE-5-DEHYDROGENASE-RXN: (expasy) Fructose 5-dehydrogenase [1.1.99.11],0,0,0,2.4437,0,0
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN: (expasy) Fructose-6-phosphate phosphoketolase [4.1.2.22],0,0,135.152,37.0985,0,0
FTRMBARK-RXN: (expasy) Formylmethanofuran--tetrahydromethanopterin N-formyltransferase [2.3.1.101],0,0,0,17.7389,0,0
FUCISOM-RXN: (expasy) L-fucose isomerase [5.3.1.25],0,0,0,10.8117,0,0
FUCPALDOL-RXN: (expasy) L-fuculose-phosphate aldolase [4.1.2.17],0,0,12.0203,59.6362,29.049,0
FUMARYLACETOACETASE-RXN: (expasy) Fumarylacetoacetase [3.7.1.2],0,0,0,31.6689,0,0
FUMHYDR-RXN: (expasy) Fumarate hydratase [4.2.1.2],19.815,61.7291,70.4104,222.489,25.2974,0
GABATRANSAM-RXN: (expasy) 4-aminobutyrate--2-oxoglutarate transaminase [2.6.1.19],0,0,13.1757,62.9552,0,0
GALACTARDEHYDRA-RXN: (expasy) Galactarate dehydratase [4.2.1.42],0,0,0,7.42459,0,0
GALACTOKIN-RXN: (expasy) Galactokinase [2.7.1.6],0,0,0,4.67474,0,0
GALACTONDEHYDRAT-RXN: (expasy) AMBIGUOUS [4.2.1.140; 4.2.1.6],0,0,31.9783,38.5387,0,0
GALACTURIDYLYLTRANS-RXN: (expasy) UDP-glucose--hexose-1-phosphate uridylyltransferase [2.7.7.12],0,0,53.0487,36.9477,13.9526,0
GALACTUROISOM-RXN: (expasy) Glucuronate isomerase [5.3.1.12],0,0,123.447,105.142,19.3886,0
GALLATE-DIOXYGENASE-RXN: (expasy) Gallate dioxygenase [1.13.11.57],0,0,12.3719,7.28732,0,0
GALPMUT-RXN: (expasy) UDP-galactopyranose mutase [5.4.99.9],0,0,0,23.0542,0,0
GAMMA-GLUTAMYLTRANSFERASE-RXN: (expasy) Gamma-glutamyltransferase [2.3.2.2],0,0,119.936,154.846,89.5479,0
GAPDHSYNEC-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating) [1.2.1.59],0,0,0,20.8491,0,0
GAPOXNPHOSPHN-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) [1.2.1.12],102.882,96.9409,185.436,342.865,301.603,2.69013
GART-RXN: (expasy) Phosphoribosylglycinamide formyltransferase 1 [2.1.2.2],0,7.70495,36.3926,110.867,75.9258,0
GCVP-RXN: (expasy) Glycine dehydrogenase (aminomethyl-transferring) [1.4.4.2],124.865,21.4426,259.455,402.772,230.221,2.8927
GCVT-RXN: (expasy) Aminomethyltransferase [2.1.2.10],71.9218,77.2097,160.987,245.416,103.996,0
GDP-MANNOSE-6-DEHYDROGENASE-RXN: (expasy) GDP-mannose 6-dehydrogenase [1.1.1.132],0,0,0,0,0,0
GDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6],81.8202,36.0515,149.789,221.954,96.4778,2.76693
"GDPMANDEHYDRA-RXN: (expasy) GDP-mannose 4,6-dehydratase [4.2.1.47]",49.5192,0,119.918,143.404,0,0
GDPPYPHOSKIN-RXN: (expasy) GTP diphosphokinase [2.7.6.5],0,0,42.9251,112.302,37.9717,2.74045
GDPREDUCT-RXN: (expasy) Ribonucleoside-diphosphate reductase [1.17.4.1],0,48.8066,91.6017,367.125,195.284,2.66397
GENTAMICIN-3-N-ACETYLTRANSFERASE-RXN: (expasy) Gentamicin 3-N-acetyltransferase [2.3.1.60],0,0,20.7954,2.70347,0,0
GKI-RXN: (expasy) Glycerate 2-kinase [2.7.1.165],0,0,0,2.77275,0,0
GLCNACPTRANS-RXN: (expasy) N-acetylglucosaminephosphotransferase [2.7.8.33],0,0,0,4.6425,0,0
GLU6PDEHYDROG-RXN: (expasy) Glucose-6-phosphate dehydrogenase (NADP(+)) [1.1.1.49],0,19.32,57.9723,180.354,0,0
GLUC1PADENYLTRANS-RXN: (expasy) Glucose-1-phosphate adenylyltransferase [2.7.7.27],25.4728,43.22,191.691,192.87,30.5172,0
GLUC1PURIDYLTRANS-RXN: (expasy) AMBIGUOUS [2.7.7.64; 2.7.7.9],21.48,0,64.4646,66.9547,65.9771,0
GLUCARDEHYDRA-RXN: (expasy) Glucarate dehydratase [4.2.1.40],0,0,0,0,74.1659,0
GLUCISOM-RXN: (metacyc) glucose isomerase [5.3.1.5],26.1361,48.5824,131.296,252.623,168.726,0
GLUCOKIN-RXN: (expasy) AMBIGUOUS [2.7.1.1; 2.7.1.2],0,0,80.2388,29.9678,0,0
GLUCONATE-2-DEHYDROGENASE-RXN: (expasy) Gluconate 2-dehydrogenase (acceptor) [1.1.99.3],0,0,21.3904,10.0589,90.9599,0
GLUCONATE-5-DEHYDROGENASE-RXN: (expasy) Gluconate 5-dehydrogenase [1.1.1.69],0,0,68.3719,37.2742,0,0
GLUCONATE-DEHYDRATASE-RXN: (expasy) AMBIGUOUS [4.2.1.140; 4.2.1.39],0,12.2796,0,29.477,0,0
GLUCONOKIN-RXN: (expasy) Gluconokinase [2.7.1.12],11.2421,0,6.95865,18.9579,0,0
GLUCONOLACT-RXN: (expasy) Gluconolactonase [3.1.1.17],24.0102,15.4331,6.73654,14.919,70.2031,0
GLUCOSAMINE-6-P-DEAMIN-RXN: (expasy) Glucosamine-6-phosphate deaminase [3.5.99.6],8.66599,0,28.6532,44.3997,43.8264,0
GLUCOSAMINE-KINASE-RXN: (expasy) Glucosamine kinase [2.7.1.8],0,0,0,0,0,0
GLUCOSE-1-DEHYDROGENASE-RXN: (expasy) Glucose 1-dehydrogenase (NAD(P)(+)) [1.1.1.47],0,0,11.2055,38.093,49.9146,0
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN: (expasy) Glucose-6-phosphate 1-epimerase [5.1.3.15],0,0,0,11.279,0,0
GLUCOSYLCERAMIDASE-RXN: (expasy) Glucosylceramidase [3.2.1.45],0,0,0,4.13678,0,0
GLUCUROISOM-RXN: (expasy) Glucuronate isomerase [5.3.1.12],0,0,123.447,105.142,19.3886,0
GLURS-RXN: (expasy) Glutamate--tRNA ligase [6.1.1.17],16.3991,0,50.9454,199.705,133.881,0
GLUTACONATE-COA-TRANSFERASE-RXN: (expasy) Glutaconate CoA-transferase [2.8.3.12],0,0,0,0,0,0
GLUTAMATE--METHYLAMINE-LIGASE-RXN: (expasy) Glutamate--methylamine ligase [6.3.4.12],0,0,0,10.0583,0,0
GLUTAMATE-DEHYDROGENASE-NADP+-RXN: (expasy) Glutamate dehydrogenase (NAD(P)(+)) [1.4.1.3],0,0,0,65.8403,23.1363,0
GLUTAMATE-DEHYDROGENASE-RXN: (expasy) Glutamate dehydrogenase [1.4.1.2],0,0,19.9437,38.0371,0,0
GLUTAMATE-N-ACETYLTRANSFERASE-RXN: (expasy) Glutamate N-acetyltransferase [2.3.1.35],24.5387,0,85.4417,62.7873,18.666,0
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN: (expasy) Glutamate synthase (ferredoxin) [1.4.7.1],0,0,117.801,59.148,0,0
GLUTAMATE-SYNTHASE-NADH-RXN: (expasy) Glutamate synthase (NADH) [1.4.1.14],0,0,0,12.0698,27.2791,0
GLUTAMATESYN-RXN: (expasy) Glutamate synthase (NADPH) [1.4.1.13],94.6888,185.037,181.643,467.673,384.039,5.61524
GLUTAMIDOTRANS-RXN: (expasy) Imidazole glycerol-phosphate synthase [4.3.2.10],34.8893,25.263,364.245,329.144,143.665,0
GLUTAMIN-RXN: (expasy) AMBIGUOUS [3.5.1.2; 3.5.1.38],0,0,422.145,341.886,132.331,0
GLUTAMINE--TRNA-LIGASE-RXN: (expasy) Glutamine--tRNA ligase [6.1.1.18],35.339,0,15.2368,219.537,19.3552,2.66146
GLUTAMINESYN-RXN: (expasy) Glutamine synthetase [6.3.1.2],101.053,39.4958,324.854,379.798,150.009,0
GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN: (expasy) Glutarate-semialdehyde dehydrogenase [1.2.1.20],0,0,4.22883,2.98762,0,0
GLUTARYL-COA-DEHYDROGENASE-RXN: (expasy) Glutaryl-CoA dehydrogenase (ETF) [1.3.8.6],0,18.0769,16.8124,54.1955,22.7137,0
GLUTATHIONE-PEROXIDASE-RXN: (expasy) Glutathione peroxidase [1.11.1.9],0,0,35.7468,0,0,0
GLUTATHIONE-REDUCT-NADPH-RXN: (expasy) Glutathione-disulfide reductase [1.8.1.7],45.6194,0,42.8812,99.8753,19.0953,0
GLUTATHIONE-SYN-RXN: (expasy) Glutathione synthase [6.3.2.3],32.4111,0,101.052,118.032,16.9219,0
GLUTCYSLIG-RXN: (expasy) Glutamate--cysteine ligase [6.3.2.2],0,0,190.074,174.176,24.9965,0
GLUTDECARBOX-RXN: (expasy) Glutamate decarboxylase [4.1.1.15],0,0,22.5458,35.3195,0,0
GLUTDEHYD-RXN: (expasy) Glutamate dehydrogenase (NADP(+)) [1.4.1.4],214.861,18.6725,54.1974,178.435,54.7097,0
GLUTKIN-RXN: (expasy) Glutamate 5-kinase [2.7.2.11],0,55.4454,114.529,126.236,45.6457,0
GLUTRACE-RXN: (expasy) Glutamate racemase [5.1.1.3],33.1234,0,34.9527,84.1644,32.5456,0
GLUTRNAREDUCT-RXN: (expasy) Glutamyl-tRNA reductase [1.2.1.70],0,0,128.391,76.3437,0,0
GLUTSEMIALDEHYDROG-RXN: (expasy) Glutamate-5-semialdehyde dehydrogenase [1.2.1.41],22.9139,29.0032,84.2609,178.807,49.2171,0
GLY3KIN-RXN: (expasy) Glycerate 3-kinase [2.7.1.31],0,0,11.8278,6.12047,0,0
GLYC3PDEHYDROG-RXN: (expasy) Glycerol-3-phosphate dehydrogenase [1.1.5.3],0,0,43.9877,46.9447,56.5951,0
GLYC3PDEHYDROGBIOSYN-RXN: (expasy) Glycerol-3-phosphate dehydrogenase (NAD(P)(+)) [1.1.1.94],0,11.6843,83.2258,196.427,66.6107,0
GLYCDEH-RXN: (expasy) Glycerol dehydrogenase [1.1.1.6],0,0,0,8.01865,0,0
GLYCERATE-DEHYDROGENASE-RXN: (expasy) Glycerate dehydrogenase [1.1.1.29],0,0,51.3015,31.2261,0,0
GLYCEROL-3-PHOSPHATE-OXIDASE-RXN: (expasy) Glycerol-3-phosphate oxidase [1.1.3.21],0,0,0,9.58325,0,0
GLYCEROL-DEHYDRATASE-RXN: (expasy) Glycerol dehydratase [4.2.1.30],0,0,0,0,0,0
GLYCEROL-KIN-RXN: (expasy) Glycerol kinase [2.7.1.30],23.8959,147.205,41.4511,164.573,27.8246,0
GLYCERONE-KINASE-RXN: (expasy) Glycerone kinase [2.7.1.29],0,0,50.1842,12.1559,0,0
GLYCINE--TRNA-LIGASE-RXN: (expasy) Glycine--tRNA ligase [6.1.1.14],30.3615,68.1799,103.508,280.277,211.929,3.147
GLYCINE-AMIDINOTRANSFERASE-RXN: (expasy) Glycine amidinotransferase [2.1.4.1],0,0,0,14.0719,0,0
"GLYCOGEN-BRANCH-RXN: (expasy) 1,4-alpha-glucan branching enzyme [2.4.1.18]",0,0,115.314,77.5748,0,0
GLYCOGENSYN-RXN: (expasy) Starch synthase [2.4.1.21],15.7418,29.0058,26.3565,38.513,60.7988,0
GLYCOLALD-DEHYDROG-RXN: (expasy) Glycolaldehyde dehydrogenase [1.2.1.21],0,0,0,3.76061,0,0
GLYCOLATE-REDUCTASE-RXN: (expasy) Glyoxylate reductase [1.1.1.26],0,0,14.1716,48.159,0,0
GLYCOLATEDEHYDRO-RXN: (expasy) Glycolate dehydrogenase [1.1.99.14],0,0,0,10.785,0,0
GLYCOPHOSPHORYL-RXN: (expasy) Glycogen phosphorylase [2.4.1.1],0,12.9916,353.102,181.914,43.8277,4.77295
GLYCPDIESTER-RXN: (expasy) Glycerophosphodiester phosphodiesterase [3.1.4.46],0,0,0,18.6079,0,0
GLYMALTOPHOSPHORYL-RXN: (expasy) Glycogen phosphorylase [2.4.1.1],0,12.9916,353.102,181.914,43.8277,4.77295
GLYOCARBOLIG-RXN: (expasy) Tartronate-semialdehyde synthase [4.1.1.47],0,16.1263,21.5011,20.8593,0,0
GLYOHMETRANS-RXN: (expasy) Glycine hydroxymethyltransferase [2.1.2.1],118.12,79.7239,185.755,358.947,90.9363,0
GLYOXI-RXN: (expasy) Lactoylglutathione lyase [4.4.1.5],0,0,89.9331,37.2492,123.932,0
GLYOXII-RXN: (expasy) Hydroxyacylglutathione hydrolase [3.1.2.6],22.1063,23.942,40.8537,77.3029,104.266,0
GLYOXIII-RXN: (expasy) D-lactate dehydratase [4.2.1.130],0,0,0,3.86875,45.6357,0
GLYOXYLATE-REDUCTASE-NADP+-RXN: (expasy) Glyoxylate reductase (NADP(+)) [1.1.1.79],0,0,21.6982,30.9586,0,0
GLYRIBONUCSYN-RXN: (expasy) Phosphoribosylamine--glycine ligase [6.3.4.13],31.3764,0,85.9035,223.557,56.3015,0
GMP-REDUCT-RXN: (expasy) GMP reductase [1.7.1.7],43.9222,11.0748,14.3665,67.3052,30.3054,0
GMP-SYN-GLUT-RXN: (expasy) GMP synthase (glutamine-hydrolyzing) [6.3.5.2],62.8891,9.51842,128.872,337.71,106.14,2.76693
GPH-RXN: (expasy) Phosphoglycolate phosphatase [3.1.3.18],0,0,31.5932,15.0048,39.5839,0
GPPSYN-RXN: (expasy) Dimethylallyltranstransferase [2.5.1.1],0,0,42.7608,27.3074,0,0
"GSAAMINOTRANS-RXN: (expasy) Glutamate-1-semialdehyde 2,1-aminomutase [5.4.3.8]",67.4925,97.9086,123.623,191.874,64.8663,0
GSADENYLATION-RXN: (expasy) [Glutamine synthetase] adenylyltransferase [2.7.7.42],0,0,20.187,50.7722,80.4995,0
GSDEADENYLATION-RXN: (expasy) [Glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [2.7.7.89],0,0,20.187,46.9704,62.2673,0
GSHTRAN-RXN: (expasy) Glutathione transferase [2.5.1.18],0,0,144.763,222.163,62.5714,0
GSPSYN-RXN: (expasy) AMBIGUOUS [6.3.1.8; 6.3.1.9],0,0,0,0,0,0
GST-RXN: (expasy) Glutathione transferase [2.5.1.18],0,0,144.763,222.163,62.5714,0
GTP-CYCLOHYDRO-I-RXN: (expasy) GTP cyclohydrolase I [3.5.4.16],53.5723,0,259.909,344.773,221.887,0
GTP-CYCLOHYDRO-II-RXN: (expasy) GTP cyclohydrolase II [3.5.4.25],0,24.3473,89.8404,133.147,61.5874,0
GTPPYPHOSKIN-RXN: (expasy) GTP diphosphokinase [2.7.6.5],0,0,42.9251,112.302,37.9717,2.74045
GUANIDINOBUTANAMIDE-NH3-RXN: (expasy) Amidase [3.5.1.4],35.0919,0,130.323,74.1009,275.439,3.19083
GUANIDINOBUTYRASE-RXN: (expasy) Guanidinobutyrase [3.5.3.7],0,46.6098,8.81378,57.7992,0,0
GUANIDINOPROPIONASE-RXN: (expasy) Guanidinopropionase [3.5.3.17],0,38.3678,31.1205,85.6718,100.621,0
GUANINE-DEAMINASE-RXN: (expasy) Guanine deaminase [3.5.4.3],0,0,31.2015,23.4298,0,0
GUANOSINEKIN-RXN: (expasy) Inosine kinase [2.7.1.73],0,0,0,3.48789,0,0
GUANPRIBOSYLTRAN-RXN: (expasy) Hypoxanthine phosphoribosyltransferase [2.4.2.8],9.88706,0,16.4087,82.6169,56.734,0
GUANYL-KIN-RXN: (expasy) Guanylate kinase [2.7.4.8],0,38.2931,92.1996,172.1,68.0131,0
GUANYLCYC-RXN: (expasy) Guanylate cyclase [4.6.1.2],0,0,0,0,0,15.9306
H2NEOPTERINALDOL-RXN: (expasy) Dihydroneopterin aldolase [4.1.2.25],99.6981,0,13.6174,82.906,111.871,0
H2PTERIDINEPYROPHOSPHOKIN-RXN: (expasy) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [2.7.6.3],0,0,24.7472,26.0224,11.4529,0
H2PTEROATESYNTH-RXN: (expasy) Dihydropteroate synthase [2.5.1.15],0,0,80.9248,86.3771,0,0
H2SOXIREDPYRO-RXN: (expasy) Sulfhydrogenase [1.12.98.4],0,0,0,5.22847,0,0
HALOACETATE-DEHALOGENASE-RXN: (expasy) Haloacetate dehalogenase [3.8.1.3],0,0,0,6.88141,0,0
HALOALKANE-DEHALOGENASE-RXN: (expasy) Haloalkane dehalogenase [3.8.1.5],52.9386,31.4151,88.5285,199.974,28.1832,3.147
HAONITRO-RXN: (expasy) Hydroxylamine dehydrogenase [1.7.2.6],0,30.559,0,0,0,0
HEME-OXYGENASE-DECYCLIZING-RXN: (expasy) Heme oxygenase (biliverdin-producing) [1.14.14.18],0,0,177.153,6.5061,57.093,0
HEMEOSYN-RXN: (metacyc) heme o biosynthesis [2.5.1.141],0,23.8398,32.5761,100.787,24.2579,0
HEMN-RXN: (expasy) Coproporphyrinogen dehydrogenase [1.3.98.3],0,0,16.8947,47.0046,0,0
HIPPURATE-HYDROLASE-RXN: (expasy) Hippurate hydrolase [3.5.1.32],0,0,0,31.1714,0,0
HISTAMINE-N-METHYLTRANSFERASE-RXN: (expasy) Histamine N-methyltransferase [2.1.1.8],0,0,18.7223,0,0,0
HISTAMINOTRANS-RXN: (expasy) Histidinol-phosphate transaminase [2.6.1.9],0,0,135.306,187.223,173.519,0
HISTCYCLOHYD-RXN: (expasy) Phosphoribosyl-AMP cyclohydrolase [3.5.4.19],14.9164,0,209.178,168.543,35.2787,0
HISTIDINE--TRNA-LIGASE-RXN: (expasy) Histidine--tRNA ligase [6.1.1.21],32.8249,18.4478,92.3526,144.615,54.8659,0
HISTIDINE-AMMONIA-LYASE-RXN: (expasy) Histidine ammonia-lyase [4.3.1.3],0,55.1924,4.25402,70.0618,15.6818,0
HISTIDPHOS-RXN: (expasy) Histidinol-phosphatase [3.1.3.15],0,0,0,61.4488,25.9078,0
HISTONE-ACETYLTRANSFERASE-RXN: (expasy) Histone acetyltransferase [2.3.1.48],0,0,0,0,0,0
HISTPRATPHYD-RXN: (expasy) Phosphoribosyl-ATP diphosphatase [3.6.1.31],0,11.0401,82.3774,118.342,109.939,0
HOLO-ACP-SYNTH-RXN: (expasy) Holo-[acyl-carrier-protein] synthase [2.7.8.7],45.4707,35.9528,109.446,142.159,174.787,0
HOMOCITRATE-SYNTHASE-RXN: (expasy) Homocitrate synthase [2.3.3.14],0,0,18.2067,5.96541,0,0
HOMOCYSMET-RXN: (expasy) 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase [2.1.1.14],0,20.0131,51.4946,27.6299,50.1727,0
HOMOCYSMETB12-RXN: (expasy) Methionine synthase [2.1.1.13],26.6922,22.4285,79.2689,266.023,371.831,0
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN: (expasy) Homocysteine S-methyltransferase [2.1.1.10],0,0,0,16.5342,0,0
"HOMOGENTISATE-12-DIOXYGENASE-RXN: (expasy) Homogentisate 1,2-dioxygenase [1.13.11.5]",0,21.5611,15.2612,85.3946,34.5535,0
HOMOSERDEAM-RXN: (expasy) Cystathionine gamma-lyase [4.4.1.1],0,0,0,49.8186,31.5726,0
HOMOSERDEHYDROG-RXN: (expasy) Homoserine dehydrogenase [1.1.1.3],30.413,0,77.2441,144.376,95.3767,0
HOMOSERINE-O-ACETYLTRANSFERASE-RXN: (expasy) Homoserine O-acetyltransferase [2.3.1.31],20.3005,23.1564,141.51,104.669,148.722,0
HOMOSERKIN-RXN: (expasy) Homoserine kinase [2.7.1.39],0,63.3557,102.227,96.6374,529.347,0
HOMSUCTRAN-RXN: (expasy) Homoserine O-succinyltransferase [2.3.1.46],0,0,0,33.263,0,0
HYALURONATE-LYASE-RXN: (expasy) Hyaluronate lyase [4.2.2.1],0,0,0,7.18643,0,0
HYDROG-RXN: (expasy) Ferredoxin hydrogenase [1.12.7.2],0,0,11.6951,12.7948,0,0
HYDROGEN-DEHYDROGENASE-RXN: (expasy) Hydrogen dehydrogenase [1.12.1.2],0,0,0,35.8922,18.8356,0
HYDROXY-MANDELATE-RACEMASE-RXN: (metacyc) hydroxymandelate racemase [5.1.2.2],0,0,16.347,2.11736,0,0
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN: (metacyc) Hydroxybenzoylformate decarboxylase [4.1.1.7],0,0,0,0,30.4104,0
"HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN: (expasy) 2-oxo-hept-4-ene-1,7-dioate hydratase [4.2.1.163]",0,0,0,0,21.547,0
