,Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31
1377,"CYCPHOSDIESTER-RXN: (expasy) 2',3'-cyclic-nucleotide 2'-phosphodiesterase [3.1.4.16]",0,0,86.3082,34.3708,42.0345,32.1654,48.1385,0,0,28.5811,0,0,0,0,0,0,0,0,0
1379,CYSPH-RXN: (expasy) Cystathionine gamma-synthase [2.5.1.48],0,28.795,108.424,11.9622,29.8377,6.99881,98.6368,0,0,0,0,0,98.2061,0,0,0,30.4264,0,0
1381,CYSTATHIONINE-BETA-LYASE-RXN: (expasy) Cysteine-S-conjugate beta-lyase [4.4.1.13],0,0,11.1188,0,0,0,7.6419,0,0,0,0,0,0,0,0,0,0,0,0
1383,CYSTATHIONINE-BETA-SYNTHASE-RXN: (expasy) Cystathionine beta-synthase [4.2.1.22],0,0,34.3871,0,0,43.2042,61.2161,0,7.00904,0,0,0,0,0,0,0,0,0,0
1385,CYSTEINE--TRNA-LIGASE-RXN: (expasy) Cysteine--tRNA ligase [6.1.1.16],0,0,165.317,0,113.501,87.3791,127.346,0,47.3551,0,0,43.1474,0,0,0,0,0,0,0
1388,CYTDEAM-RXN: (expasy) Cytosine deaminase [3.5.4.1],0.315474,0,41.5636,0,0,116.079,29.4137,0,90.4004,0,0,0,0,0,0,0,56.0095,0,0
1390,CYTIDEAM-RXN: (expasy) Cytidine deaminase [3.5.4.5],0,0,29.1605,0,0,0,61.8421,0,0,0,0,81.9491,0,0,0,0,0,0,0
1393,CYTIDEAM2-RXN: (expasy) Cytidine deaminase [3.5.4.5],0,0,29.1605,0,0,0,61.8421,0,0,0,0,81.9491,0,0,0,0,0,0,0
1396,CYTIDINEKIN-RXN: (expasy) Uridine/cytidine kinase [2.7.1.48],0,0,45.6847,0,0,0,27.8197,0,0,0,0,0,0,0,0,0,16.6843,0,0
1398,CYTOCHROME-B5-REDUCTASE-RXN: (expasy) Cytochrome-b5 reductase [1.6.2.2],11.2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,CYTOCHROME-C-OXIDASE-RXN: (expasy) Cytochrome-c oxidase [7.1.1.9],0,0,0,0,0,46.9245,39.2817,0,22.3611,0,0,44.565,0,0,207.642,0,42.3952,0,0
1402,CYTOCHROME-C-PEROXIDASE-RXN: (expasy) Cytochrome-c peroxidase [1.11.1.5],0,0,11.2774,0,0,0,36.822,0,0,0,0,0,0,95.4553,0,0,0,0,0
1404,CYTOCHROME-C3-HYDROGENASE-RXN: (expasy) Cytochrome-c3 hydrogenase [1.12.2.1],0,0,0,0,0,0,9.69678,0,0,0,0,0,0,0,0,0,0,0,0
1406,D--TARTRATE-DEHYDRATASE-RXN: (expasy) D(-)-tartrate dehydratase [4.2.1.81],0,0,0,0,0,11.1645,4.34706,0,0,0,0,0,0,0,0,0,35.5167,0,0
1408,D-ALANINE-AMINOTRANSFERASE-RXN: (expasy) D-amino-acid transaminase [2.6.1.21],0,0,10.3306,27.4215,0,25.2606,78.6634,13.3482,29.7555,35.9508,0,0,0,0,0,0,21.8403,0,0
1410,D-ASPARTATE-OXIDASE-RXN: (expasy) AMBIGUOUS [1.4.3.1; 1.4.3.15],0,0,0,0,9.4365,0,2.24437,0,0,0,0,0,0,0,0,0,24.0304,0,0
1412,D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN: (expasy) D-lactate dehydrogenase (cytochrome) [1.1.2.4],0,0,0,0,0,0,5.94325,0,0,0,0,0,0,0,0,0,33.6852,0,0
1414,"D-PPENTOMUT-RXN: (metacyc) D-deoxyribose 1,5-phosphomutase [5.4.2.7]",0,0,173.205,0,0,0,67.2863,0,15.5479,0,0,0,0,0,0,0,27.3313,0,0
1416,D-RIBULOKIN-RXN: (expasy) D-ribulokinase [2.7.1.47],0,0,45.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,D-SORBITOL-DEHYDROGENASE-RXN: (expasy) D-sorbitol dehydrogenase (acceptor) [1.1.99.21],0,0,0,0,0,31.549,3.47816,0,0,0,0,0,70.6488,0,0,0,0,3.6715,0
1420,D-THREO-ALDOSE-1-DEHYDROGENASE-RXN: (expasy) D-threo-aldose 1-dehydrogenase [1.1.1.122],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6424,0,0
1422,D-XYLULOSE-REDUCTASE-RXN: (expasy) D-xylulose reductase [1.1.1.9],0,0,0,0,0,39.5998,8.55715,0,0,0,0,0,0,0,0,0,0,0,0
1424,DADPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6],0,20.6201,120.889,81.8202,36.0515,149.789,221.954,0,30.555,239.322,0,25.3675,0,92.1799,80.714,116.168,96.4778,2.76693,0
1426,DAHPSYN-RXN: (expasy) 3-deoxy-7-phosphoheptulonate synthase [2.5.1.54],0.404276,0,137.589,0,40.4212,279.052,343.939,0,205.795,224.303,0,0,0,0,72.9466,0,168.206,0,0
1429,DALADALALIG-RXN: (expasy) D-alanine--D-alanine ligase [6.3.2.4],0,25.8848,77.1184,0,0,53.0899,107.546,0,54.6436,0,0,0,0,0,0,0,69.1578,0,0
1432,DAPASYN-RXN: (expasy) Adenosylmethionine--8-amino-7-oxononanoate transaminase [2.6.1.62],0,0,130.041,127.216,20.9938,24.8818,51.6859,0,104.907,71.9016,0,0,0,0,0,73.1148,29.725,0,0
1434,DARAB5PISOM-RXN: (expasy) Arabinose-5-phosphate isomerase [5.3.1.13],0,0,18.0861,0,0,21.7074,63.4005,0,18.9153,0,0,0,50.6478,0,0,0,0,7.79257,0
1436,DARABALDOL-RXN: (expasy) L-fuculose-phosphate aldolase [4.1.2.17],0.588425,0,13.9085,0,0,12.0203,59.6362,0,38.784,0,0,0,0,0,116.228,0,29.049,0,0
1438,DARABISOM-RXN: (expasy) D-arabinose isomerase [5.3.1.3],0,0,0,0,0,0,2.44396,0,0,0,0,0,0,0,0,0,0,0,0
1440,DCDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6],0,20.6201,120.889,81.8202,36.0515,149.789,221.954,0,30.555,239.322,0,25.3675,0,92.1799,80.714,116.168,96.4778,2.76693,0
1442,DCMP-DEAMINASE-RXN: (expasy) dCMP deaminase [3.5.4.12],0,0,0,0,0,0,5.00023,0,38.089,0,0,0,0,0,0,0,0,0,0
1444,DCTP-DEAM-RXN: (expasy) dCTP deaminase [3.5.4.13],3.04787,0,84.4223,19.2267,22.6363,30.8239,120.971,0,54.8834,0,0,45.8444,158.146,0,0,0,50.5358,2.9011,70.3937
1446,DCTP-PYROPHOSPHATASE-RXN: (expasy) AMBIGUOUS [3.6.1.12; 3.6.1.65; 3.6.1.9],0,0,0,0,0,6.3481,0,0,0,0,0,0,0,0,0,52.0063,0,0,0
1448,DCYSDESULF-RXN: (expasy) D-cysteine desulfhydrase [4.4.1.15],0,0,0,0,0,0,7.18238,0,0,0,0,0,0,0,0,0,0,0,0
1450,DEHYDDEOXGALACTKIN-RXN: (expasy) AMBIGUOUS [2.7.1.178; 2.7.1.58],0,0,0,0,0,0,3.89853,0,0,0,0,0,0,0,0,0,0,0,0
1452,DEHYDDEOXPHOSGALACT-ALDOL-RXN: (expasy) AMBIGUOUS [4.1.2.21; 4.1.2.55],0,0,5.79034,0,0,5.22921,5.47067,0,0,0,0,0,0,0,0,0,25.4517,0,0
1454,DEOXYADENPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1],3.17011,22.1086,210.587,0,25.0164,26.7189,86.916,0,0,159.171,0,68.323,0,0,0,0,59.633,0,0
1457,DEOXYCYTIDINE-KINASE-RXN: (expasy) Deoxycytidine kinase [2.7.1.74],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0895,0,0
1459,DEOXYGLUCONOKIN-RXN: (expasy) AMBIGUOUS [2.7.1.178; 2.7.1.45],0,0,32.504,0,0,3.9901,20.4301,0,0,0,0,0,0,0,0,0,0,0,0
1461,DEOXYGUANPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1],3.17011,22.1086,210.587,0,25.0164,26.7189,86.916,0,0,159.171,0,68.323,0,0,0,0,59.633,0,0
1464,DEOXYINOPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1],3.17011,22.1086,210.587,0,25.0164,26.7189,86.916,0,0,159.171,0,68.323,0,0,0,0,59.633,0,0
1467,DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN: (expasy) Deoxyribodipyrimidine photo-lyase [4.1.99.3],0,0,0,0,0,56.6848,50.8473,0,39.0567,0,0,0,0,0,0,0,0,0,0
1469,DEOXYRIBOSE-P-ALD-RXN: (expasy) Deoxyribose-phosphate aldolase [4.1.2.4],0,0,49.5833,0,21.9532,44.9311,130.249,0,49.604,57.6813,0,86.21,0,0,0,0,24.1471,5.50725,0
1472,DEPHOSPHOCOAKIN-RXN: (expasy) Dephospho-CoA kinase [2.7.1.24],0,0,33.4511,0,0,30.9675,76.2533,0,46.0732,0,0,0,0,0,0,0,26.8881,0,0
1475,DETHIOBIOTIN-SYN-RXN: (expasy) Dethiobiotin synthase [6.3.3.3],0,0,27.2484,0,17.0417,19.9087,60.0152,0,17.5104,158.246,0,0,0,0,0,0,56.7465,0,0
1478,DGDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6],0,20.6201,120.889,81.8202,36.0515,149.789,221.954,0,30.555,239.322,0,25.3675,0,92.1799,80.714,116.168,96.4778,2.76693,0
1480,DGTPTRIPHYDRO-RXN: (expasy) dGTPase [3.1.5.1],0,0,23.869,20.5137,0,0,7.69112,0,0,50.7541,0,0,0,0,0,0,7.18365,0,0
1482,"DHBDEHYD-RXN: (expasy) 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [1.3.1.28]",0,0,0,0,0,0,10.7889,0,0,0,0,0,0,0,0,0,0,2.46744,0
1484,DHHB-METHYLTRANSFER-RXN: (expasy) 3-demethylubiquinol 3-O-methyltransferase [2.1.1.64],0,0,24.2899,55.5451,0,10.4076,133.333,0,70.6918,0,0,23.3158,0,0,0,0,0,0,0
1486,"DHLAXANAU-RXN: (metacyc) 1,2-dichloroethane dehalogenase [3.8.1.5]",0,0,15.8269,52.9386,31.4151,88.5285,199.974,0,27.5837,122.704,0,221.85,0,0,0,0,28.1832,3.147,0
1488,DHLBXANAU-RXN: (metacyc) chloroacetate dehalogenase [3.8.1.3],0,0,0,0,0,0,6.88141,0,0,0,0,0,0,0,0,0,0,0,0
1490,DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN: (expasy) Diacylglycerol O-acyltransferase [2.3.1.20],0,0,0,0,0,0,14.7268,0,0,0,0,0,0,0,0,0,0,3.53552,0
1492,DIACYLGLYKIN-RXN: (expasy) Diacylglycerol kinase (ATP) [2.7.1.107],0,0,25.4205,0,23.2295,31.7746,41.0429,0,19.4878,0,0,0,0,0,0,38.1389,0,0,0
1494,DIAMINOPIMDECARB-RXN: (expasy) Diaminopimelate decarboxylase [4.1.1.20],0,0,82.6317,0,0,74.9249,153.625,0,15.0827,88.8197,0,0,0,0,0,0,19.507,0,0
1497,DIAMINOPIMEPIM-RXN: (expasy) Diaminopimelate epimerase [5.1.1.7],1.0223,0,73.9398,0,0,59.7496,104.741,0,131.221,98.801,0,43.1474,94.7277,0,0,75.8534,0,0,0
1499,DICHLOROMETHANE-DEHALOGENASE-RXN: (expasy) Dichloromethane dehalogenase [4.5.1.3],0,0,0,0,0,0,2.78166,0,0,0,0,0,0,0,0,0,0,0,0
1501,DIENELACHYDRO-RXN: (expasy) Carboxymethylenebutenolidase [3.1.1.45],0.78854,0,27.3426,14.25,0,6.84849,21.2069,0,0,0,0,53.9433,161.883,0,0,0,22.4067,0,119.596
1503,"DIENOYLCOAREDUCT-RXN: (expasy) 2,4-dienoyl-CoA reductase ((2E)-enoyl-CoA-producing) [1.3.1.34]",0,0,27.9355,23.2321,36.0031,19.7389,84.998,0,54.1187,89.5856,0,0,0,0,0,52.0063,74.3698,0,0
1505,DIHYDLIPACETRANS-RXN: (expasy) Dihydrolipoyllysine-residue acetyltransferase [2.3.1.12],2.29969,33.9324,90.7508,0,0,0,57.3965,0,0,0,0,0,94.6087,0,0,28.9216,52.5662,0,0
1507,DIHYDRODIPICSYN-RXN: (expasy) 4-hydroxy-tetrahydrodipicolinate synthase [4.3.3.7],2.10648,17.1219,141.623,0,17.8794,85.0485,149.127,0,94.8425,55.2145,0,56.7261,208.222,0,0,62.5885,55.0649,0,103.427
1510,DIHYDROFOLATEREDUCT-RXN: (expasy) Dihydrofolate reductase [1.5.1.3],0,0,40.8853,11.4049,26.7298,34.8145,64.2718,0,40.1902,0,0,21.3566,0,0,76.9723,0,97.8784,0,0
1513,DIHYDROFOLATESYNTH-RXN: (expasy) Dihydrofolate synthase [6.3.2.12],0,0,81.9015,0,0,0,12.3975,0,0,0,0,0,0,0,0,0,0,0,0
1515,DIHYDROKAEMPFEROL-4-REDUCTASE-RXN: (expasy) Dihydroflavanol 4-reductase [1.1.1.219],0.663275,19.9136,14.4259,0,0,0,0,0,0,0,0,54.4472,45.287,0,0,71.0217,0,0,0
1517,DIHYDROOROT-RXN: (expasy) Dihydroorotase [3.5.2.3],2.02227,46.4882,143.018,31.1686,131.458,152.507,240.148,0,121.57,0,0,111.657,59.8227,0,0,66.0185,40.1153,0,79.1174
1520,DIHYDROOROTATE-DEHYDROGENASE-RXN: (expasy) Dihydroorotate dehydrogenase (quinone) [1.3.5.2],0,0,33.4839,0,0,72.2174,79.6546,0,68.7128,0,0,34.0934,0,0,0,0,58.2237,0,0
1522,DIHYDROPYRIMIDINASE-RXN: (expasy) Dihydropyrimidinase [3.5.2.2],0,0,6.54473,0,0,62.412,75.7029,0,0,0,0,0,0,0,0,0,22.4067,1.81511,0
1524,DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN: (expasy) Dihydrouracil dehydrogenase (NAD(+)) [1.3.1.1],0,0,30.5975,0,0,51.7618,23.7982,0,0,107.852,0,0,0,0,0,0,31.4829,0,117.698
1526,DIHYDROXYISOVALDEHYDRAT-RXN: (expasy) Dihydroxy-acid dehydratase [4.2.1.9],5.8754,0,331.787,159.302,69.3101,283.822,449.536,27.558,251.527,360.992,0,113.653,260.466,0,0,324.575,357.648,2.09715,0
1528,"DIHYDROXYMETVALDEHYDRAT-RXN: (metacyc) 2,3-Dihydroxy-3-methylvalerate dehydratase [4.2.1.9]",5.8754,0,331.787,159.302,69.3101,283.822,449.536,27.558,251.527,360.992,0,113.653,260.466,0,0,324.575,357.648,2.09715,0
1530,DIMESULFREDUCT-RXN: (expasy) Respiratory dimethylsulfoxide reductase [1.8.5.3],0,0,25.9345,0,0,17.0893,16.7595,0,0,0,0,0,0,0,0,0,0,0,0
1533,DIMETHUROPORDEHYDROG-RXN: (expasy) Precorrin-2 dehydrogenase [1.3.1.76],0,0,10.4048,9.5766,0,2.13411,46.624,0,0,50.3311,0,0,0,0,0,0,42.5201,0,0
1536,DIMETHYLARGININASE-RXN: (expasy) Dimethylargininase [3.5.3.18],0,0,25.9821,0,0,0,5.08919,0,0,0,0,0,0,0,0,0,0,0,0
1538,DIMETHYLGLYCINE-DEHYDROGENASE-RXN: (expasy) Dimethylglycine dehydrogenase [1.5.8.4],0,0,0,0,0,0,27.3755,0,0,0,0,0,0,0,0,0,0,0,0
1540,DIMETHYLGLYCINE-OXIDASE-RXN: (expasy) Dimethylglycine oxidase [1.5.3.10],0,0,6.77393,0,0,0,19.6042,0,0,0,0,0,0,0,0,0,0,0,0
1542,DIMETHYLMALEATE-HYDRATASE-RXN: (expasy) Dimethylmaleate hydratase [4.2.1.85],0,0,0,0,0,0,0,0,40.2067,0,0,0,0,0,0,0,0,0,0
1544,DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN: (expasy) Dimethylpropiothetin dethiomethylase [4.4.1.3],0,0,0,0,0,6.36136,26.3345,0,0,0,0,0,0,0,0,0,0,2.38648,0
1546,"DIOHBUTANONEPSYN-RXN: (expasy) 3,4-dihydroxy-2-butanone-4-phosphate synthase [4.1.99.12]",1.60593,39.601,233.229,0,90.4233,47.019,151.723,0,59.3442,167.659,0,185.152,47.1558,0,0,61.3575,19.3435,0,0
1549,DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN: (expasy) Diphosphomevalonate decarboxylase [4.1.1.33],0,0,0,0,10.4068,0,8.15901,0,0,0,0,0,0,0,0,0,0,0,0
1551,DLACTDEHYDROGFAD-RXN: (expasy) D-lactate dehydrogenase (quinone) [1.1.5.12],0,0,0,0,0,0,8.89743,0,0,0,0,0,0,0,0,0,0,0,0
1553,DLACTDEHYDROGNAD-RXN: (expasy) D-lactate dehydrogenase [1.1.1.28],1.4004,0,0,0,27.1011,80.5477,19.0698,0,31.5579,0,0,43.7332,0,0,0,0,0,0,0
1555,DMBPPRIBOSYLTRANS-RXN: (expasy) Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [2.4.2.21],0,0,0,0,0,26.4923,36.4125,0,0,0,0,0,0,0,0,0,0,0,0
1558,"DMK-RXN: (expasy) 1,4-dihydroxy-2-naphthoate polyprenyltransferase [2.5.1.74]",0,0,0,0,0,4.38381,46.5986,0,54.4093,0,0,0,0,0,0,0,26.7168,0,0
1561,DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN: (expasy) DNA (cytosine-5-)-methyltransferase [2.1.1.37],0,0,24.6714,0,0,0,18.6432,0,61.8749,0,0,0,0,0,0,0,58.5531,0,0
1563,DNA-DIRECTED-DNA-POLYMERASE-RXN: (expasy) DNA-directed DNA polymerase [2.7.7.7],5.9708,118.326,877.655,147.61,191.99,508.31,946.336,41.5876,540.648,199.378,77.4714,172.695,137.759,376.229,0,69.0528,539.513,3.0786,81.735
1566,DNA-DIRECTED-RNA-POLYMERASE-RXN: (expasy) DNA-directed RNA polymerase [2.7.7.6],7.18765,341.632,1038.1,260.264,840.97,523.308,1216.64,157.706,824.663,896.715,264.427,275.535,1069.61,274.822,4269.14,607.299,1229.72,2.45304,718.114
1569,DNA-LIGASE-NAD+-RXN: (expasy) AMBIGUOUS [6.5.1.2; 6.5.1.6],0,61.5286,99.0104,22.8636,18.5907,41.5942,133.577,62.8555,84.8058,56.2026,0,0,48.8628,0,0,0,56.8197,0,0
1572,DSERDEAM-RXN: (expasy) D-serine ammonia-lyase [4.3.1.18],0,0,22.9069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,"DTDPDEHYDRHAMEPIM-RXN: (expasy) dTDP-4-dehydrorhamnose 3,5-epimerase [5.1.3.13]",0,0,18.507,0,13.0702,139.505,62.0213,0,48.894,49.8375,0,0,0,0,0,0,0,0,0
1576,DTDPDEHYRHAMREDUCT-RXN: (expasy) dTDP-4-dehydrorhamnose reductase [1.1.1.133],0,0,65.0382,0,0,128.247,40.2465,20.2434,80.6012,0,0,0,0,0,0,0,11.4917,0,0
1578,"DTDPGLUCDEHYDRAT-RXN: (expasy) dTDP-glucose 4,6-dehydratase [4.2.1.46]",0,14.6372,94.8999,25.3441,35.0725,102.554,232.271,0,147.901,0,0,0,50.6478,0,0,0,41.5662,4.69408,0
1580,DTDPGLUCOSEPP-RXN: (expasy) Glucose-1-phosphate thymidylyltransferase [2.7.7.24],0.930073,0,101.64,65.3918,0,170.641,194.148,0,158.714,145.201,0,55.5817,0,0,57.9238,0,131.178,0,0
1582,DTDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6],0,20.6201,120.889,81.8202,36.0515,149.789,221.954,0,30.555,239.322,0,25.3675,0,92.1799,80.714,116.168,96.4778,2.76693,0
1584,DTMPKI-RXN: (expasy) AMBIGUOUS [2.7.4.12; 2.7.4.13; 2.7.4.9],1.19647,36.0296,78.4278,0,0,61.5978,89.3524,0,11.7882,0,0,0,229.476,0,0,92.0995,182.641,0,0
1587,DUDPKIN-RXN: (expasy) Nucleoside-diphosphate kinase [2.7.4.6],0,20.6201,120.889,81.8202,36.0515,149.789,221.954,0,30.555,239.322,0,25.3675,0,92.1799,80.714,116.168,96.4778,2.76693,0
1589,DURIDKI-RXN: (expasy) AMBIGUOUS [2.7.1.145; 2.7.1.21],3.46915,0,99.6163,13.0101,0,19.6728,173.878,0,89.4847,0,0,50.8984,97.3485,0,0,86.9407,85.5929,0,0
1592,DUTP-PYROP-RXN: (expasy) AMBIGUOUS [3.6.1.23; 3.6.1.9],0.659276,0,59.5382,0,281.795,9.35748,34.9243,0,14.442,0,0,0,0,0,0,0,108.448,0,0
1594,DXPREDISOM-RXN: (expasy) 1-deoxy-D-xylulose-5-phosphate reductoisomerase [1.1.1.267],0,29.5531,30.0968,23.4492,0,54.837,96.1157,0,102.058,0,0,0,55.4593,0,0,0,43.691,1.67261,0
1597,DXS-RXN: (expasy) 1-deoxy-D-xylulose-5-phosphate synthase [2.2.1.7],2.95171,23.2284,191.074,21.445,83.6502,158.413,228.085,0,197.027,0,0,120.007,52.7007,0,0,139.968,139.925,0,0
1599,ENOYL-ACP-REDUCT-NADH-RXN: (expasy) Enoyl-[acyl-carrier-protein] reductase (NADH) [1.3.1.9],0,0,155.904,20.7361,15.8357,167.759,247.519,0,83.2364,0,0,0,0,0,0,0,33.7234,0,0
1602,ENOYL-COA-DELTA-ISOM-RXN: (expasy) Delta(3)-Delta(2)-enoyl-CoA isomerase [5.3.3.8],0,0,76.0645,0,0,10.5094,15.5563,0,0,0,0,0,0,0,0,0,0,0,0
1604,ENOYL-COA-HYDRAT-RXN: (expasy) Enoyl-CoA hydratase [4.2.1.17],5.94545,45.4334,190.253,59.7111,52.0658,250.029,774.346,0,339.792,581.044,0,67.0247,0,0,0,34.1099,784.801,0,69.7265
1606,ENTDB-RXN: (expasy) Holo-[acyl-carrier-protein] synthase [2.7.8.7],2.43307,60.7139,105.03,45.4707,35.9528,109.446,142.159,23.3481,10.0778,0,0,48.0511,236.695,0,0,0,174.787,0,0
1609,ENZRXN-201-RXN: (expasy) Alcohol dehydrogenase (NADP(+)) [1.1.1.2],0,0,14.2028,0,0,27.0821,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,ERYTH4PDEHYDROG-RXN: (expasy) Erythrose-4-phosphate dehydrogenase [1.2.1.72],0,0,18.7501,0,20.5398,20.5182,0,0,24.283,0,0,84.4107,0,0,0,0,0,0,0
1613,ERYTHRITOL-KINASE-RXN: (expasy) Erythritol kinase (D-erythritol 4-phosphate-forming) [2.7.1.27],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7294,0,0
1615,ERYTHRON4PDEHYDROG-RXN: (expasy) 4-phosphoerythronate dehydrogenase [1.1.1.290],0,0,18.8702,0,0,0,19.3225,0,0,0,0,0,0,0,0,0,50.1165,0,0
1618,ETHAMLY-RXN: (expasy) Ethanolamine ammonia-lyase [4.3.1.7],0,0,13.6603,0,0,10.2038,5.62894,0,0,0,0,0,0,0,0,48.5043,18.9759,0,0
1620,EXOPOLYPHOSPHATASE-RXN: (expasy) Exopolyphosphatase [3.6.1.11],0,0,103.329,26.551,26.9142,5.96794,0,0,0,0,0,0,0,98.9721,0,0,55.5596,0,0
1622,F16ALDOLASE-RXN: (expasy) Fructose-bisphosphate aldolase [4.1.2.13],0.77367,33.1044,298.778,68.647,238.331,204.389,294.951,0,216.379,218.481,0,0,75.4548,0,140.465,104.223,320.227,9.66839,0
1625,F16BDEPHOS-RXN: (expasy) Fructose-bisphosphatase [3.1.3.11],0.868401,26.3046,167.861,0,39.9057,160.213,139.271,0,170.531,239.374,0,0,0,0,0,0,109.535,0,0
1627,FADSYN-RXN: (expasy) FAD synthase [2.7.7.2],1.07353,21.5564,81.584,0,0,23.4161,49.2753,0,0,0,0,0,122.771,0,0,68.6797,15.5167,0,0
1630,FARNESYLTRANSTRANSFERASE-RXN: (expasy) Geranylgeranyl diphosphate synthase [2.5.1.29],0,0,37.9534,22.472,0,50.9668,30.4117,0,67.3173,55.1574,0,0,0,84.7058,0,0,0,0,0
1632,FATTY-ACYL-COA-SYNTHASE-RXN: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86],0,0,0,0,0,0,25.7632,0,12.8436,0,0,0,0,0,0,0,0,0,0
1634,FERREDOXIN--NITRITE-REDUCTASE-RXN: (expasy) Ferredoxin--nitrite reductase [1.7.7.1],0,0,8.05509,0,0,0,2.68074,0,34.7654,0,0,0,0,0,0,0,0,0,0
1636,FGAMSYN-RXN: (expasy) Phosphoribosylformylglycinamidine synthase [6.3.5.3],4.91507,86.4121,415.775,150.448,128.699,413.968,400.274,0,424.954,198.444,0,86.032,205.749,0,0,187.161,200.6,0,0
1639,FLAVONADPREDUCT-RXN: (expasy) Flavodoxin--NADP(+) reductase [1.19.1.1],0,0,12.0345,0,0,14.665,23.1884,0,0,0,0,0,0,0,0,0,0,0,0
1641,FMNREDUCT-RXN: (expasy) FMN reductase (NAD(P)H) [1.5.1.39],0,0,0,0,0,0,4.77045,0,0,0,0,0,0,0,0,0,0,0,0
1643,FOLYLPOLYGLUTAMATESYNTH-RXN: (expasy) Tetrahydrofolate synthase [6.3.2.17],0,0,81.9015,0,0,0,22.2293,0,0,0,0,0,0,0,0,0,0,0,0
1645,FORMAMIDASE-RXN: (expasy) Formamidase [3.5.1.49],0,0,13.0919,0,0,166.927,27.2053,0,107.041,0,0,0,0,0,0,0,119.224,2.52315,0
1647,FORMATEDEHYDROG-RXN: (metacyc) formate dehydrogenase (menaquinone) [1.17.5.3],0,0,18.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,FORMATETHFLIG-RXN: (expasy) Formate--tetrahydrofolate ligase [6.3.4.3],1.45516,0,268.169,117.184,41.2931,161.243,352.616,0,129.534,155.386,0,42.3905,122.381,51.3154,39.3227,0,155.647,0,0
1652,FORMIMINOGLUTAMASE-RXN: (expasy) Formimidoylglutamase [3.5.3.8],0,0,17.0457,0,0,0,3.73979,0,0,0,0,0,0,0,0,0,0,0,0
1654,FORMIMINOGLUTAMATE-DEIMINASE-RXN: (expasy) Formimidoylglutamate deiminase [3.5.3.13],0,0,0,0,0,0,7.90454,0,20.4585,0,0,0,0,0,0,0,0,0,0
1657,FORMYLMETHANOFURAN-DEHYDROGENASE-RXN: (expasy) Formylmethanofuran dehydrogenase [1.2.7.12],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,FORMYLMETHIONINE-DEFORMYLASE-RXN: (expasy) Formylmethionine deformylase [3.5.1.31],0,0,25.9181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,FORMYLTHFDEFORMYL-RXN: (expasy) Formyltetrahydrofolate deformylase [3.5.1.10],0,0,14.1121,0,0,34.0521,60.2009,0,0,52.7488,0,0,0,0,0,0,63.749,0,0
