Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26
GLUTACONATE-COA-TRANSFERASE-RXN: (expasy) Glutaconate CoA-transferase [2.8.3.12],0,0,0,0,0,0
GLUTAMATE--METHYLAMINE-LIGASE-RXN: (expasy) Glutamate--methylamine ligase [6.3.4.12],0,0,0,0,0,0
GLUTAMATE-DEHYDROGENASE-NADP+-RXN: (expasy) Glutamate dehydrogenase (NAD(P)(+)) [1.4.1.3],0,0,0,0,0,0
GLUTAMATE-DEHYDROGENASE-RXN: (expasy) Glutamate dehydrogenase [1.4.1.2],0,0,0,0,0,0
GLUTAMATE-N-ACETYLTRANSFERASE-RXN: (expasy) Glutamate N-acetyltransferase [2.3.1.35],0,0,82.8113,0,0,0
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN: (expasy) Glutamate synthase (ferredoxin) [1.4.7.1],0,0,75.8565,0,0,1104.23
GLUTAMATE-SYNTHASE-NADH-RXN: (expasy) Glutamate synthase (NADH) [1.4.1.14],0,0,0,0,0,0
GLUTAMATESYN-RXN: (expasy) Glutamate synthase (NADPH) [1.4.1.13],0.690268,0,171.175,394.735,0,0
GLUTAMIDOTRANS-RXN: (expasy) Imidazole glycerol-phosphate synthase [4.3.2.10],3.06474,0,254.261,169.408,0,0
GLUTAMIN-RXN: (expasy) AMBIGUOUS [3.5.1.2; 3.5.1.38],4.18288,0,259.87,51.9269,0,0
GLUTAMINE--TRNA-LIGASE-RXN: (expasy) Glutamine--tRNA ligase [6.1.1.18],0,0,24.1321,117.51,0,44.2776
GLUTAMINESYN-RXN: (expasy) Glutamine synthetase [6.3.1.2],10.979,0,470.273,204.783,0,54.0623
GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN: (expasy) Glutarate-semialdehyde dehydrogenase [1.2.1.20],0,0,0,0,0,0
GLUTARYL-COA-DEHYDROGENASE-RXN: (expasy) Glutaryl-CoA dehydrogenase (ETF) [1.3.8.6],0,0,32.704,0,0,0
GLUTATHIONE-PEROXIDASE-RXN: (expasy) Glutathione peroxidase [1.11.1.9],0,0,26.9059,0,0,0
GLUTATHIONE-REDUCT-NADPH-RXN: (expasy) Glutathione-disulfide reductase [1.8.1.7],0.74093,0,41.9655,0,0,0
GLUTATHIONE-SYN-RXN: (expasy) Glutathione synthase [6.3.2.3],0,0,77.7256,288.867,0,0
GLUTCYSLIG-RXN: (expasy) Glutamate--cysteine ligase [6.3.2.2],2.25891,0,44.5247,206.467,0,0
GLUTDECARBOX-RXN: (expasy) Glutamate decarboxylase [4.1.1.15],0,0,0,61.3171,0,0
GLUTDEHYD-RXN: (expasy) Glutamate dehydrogenase (NADP(+)) [1.4.1.4],1.19261,0,144.006,0,0,0
GLUTKIN-RXN: (expasy) Glutamate 5-kinase [2.7.2.11],0.751268,0,149.706,0,0,0
GLUTRACE-RXN: (expasy) Glutamate racemase [5.1.1.3],0,0,33.0125,0,0,0
GLUTRNAREDUCT-RXN: (expasy) Glutamyl-tRNA reductase [1.2.1.70],1.27942,0,0,0,0,0
GLUTSEMIALDEHYDROG-RXN: (expasy) Glutamate-5-semialdehyde dehydrogenase [1.2.1.41],0,0,149.216,111.847,0,0
GLY3KIN-RXN: (expasy) Glycerate 3-kinase [2.7.1.31],0,28.6083,0,0,0,0
GLYC3PDEHYDROG-RXN: (expasy) Glycerol-3-phosphate dehydrogenase [1.1.5.3],1.52621,0,0,0,0,0
GLYC3PDEHYDROGBIOSYN-RXN: (expasy) Glycerol-3-phosphate dehydrogenase (NAD(P)(+)) [1.1.1.94],0,0,172.877,0,0,0
GLYCDEH-RXN: (expasy) Glycerol dehydrogenase [1.1.1.6],0,0,0,0,0,0
GLYCERATE-DEHYDROGENASE-RXN: (expasy) Glycerate dehydrogenase [1.1.1.29],0,0,0,0,0,0
GLYCEROL-3-PHOSPHATE-OXIDASE-RXN: (expasy) Glycerol-3-phosphate oxidase [1.1.3.21],0,0,0,0,0,0
GLYCEROL-DEHYDRATASE-RXN: (expasy) Glycerol dehydratase [4.2.1.30],0,0,0,0,0,0
GLYCEROL-KIN-RXN: (expasy) Glycerol kinase [2.7.1.30],0.727579,0,48.1599,115.975,0,0
GLYCERONE-KINASE-RXN: (expasy) Glycerone kinase [2.7.1.29],0,0,0,0,0,0
GLYCINE--TRNA-LIGASE-RXN: (expasy) Glycine--tRNA ligase [6.1.1.14],2.23654,48.5871,163.014,324.451,0,0
GLYCINE-AMIDINOTRANSFERASE-RXN: (expasy) Glycine amidinotransferase [2.1.4.1],0,0,0,0,0,0
"GLYCOGEN-BRANCH-RXN: (expasy) 1,4-alpha-glucan branching enzyme [2.4.1.18]",0,0,114.241,23.9446,0,0
GLYCOGENSYN-RXN: (expasy) Starch synthase [2.4.1.21],0,0,16.897,0,0,0
GLYCOLALD-DEHYDROG-RXN: (expasy) Glycolaldehyde dehydrogenase [1.2.1.21],0,0,0,0,0,0
GLYCOLATE-REDUCTASE-RXN: (expasy) Glyoxylate reductase [1.1.1.26],0,0,0,0,0,0
GLYCOLATEDEHYDRO-RXN: (expasy) Glycolate dehydrogenase [1.1.99.14],0,0,0,0,0,0
GLYCOPHOSPHORYL-RXN: (expasy) Glycogen phosphorylase [2.4.1.1],0,33.4635,255.715,48.223,0,0
GLYCPDIESTER-RXN: (expasy) Glycerophosphodiester phosphodiesterase [3.1.4.46],0,0,0,0,0,0
GLYMALTOPHOSPHORYL-RXN: (expasy) Glycogen phosphorylase [2.4.1.1],0,33.4635,255.715,48.223,0,0
GLYOCARBOLIG-RXN: (expasy) Tartronate-semialdehyde synthase [4.1.1.47],0.667449,0,0,89.4776,0,0
GLYOHMETRANS-RXN: (expasy) Glycine hydroxymethyltransferase [2.1.2.1],2.30494,0,332.946,221.342,125.365,88.0517
GLYOXI-RXN: (expasy) Lactoylglutathione lyase [4.4.1.5],0,0,102.527,98.2071,0,0
GLYOXII-RXN: (expasy) Hydroxyacylglutathione hydrolase [3.1.2.6],0,0,41.3754,0,0,0
GLYOXIII-RXN: (expasy) D-lactate dehydratase [4.2.1.130],0,0,0,0,0,0
GLYOXYLATE-REDUCTASE-NADP+-RXN: (expasy) Glyoxylate reductase (NADP(+)) [1.1.1.79],0,0,0,0,0,0
GLYRIBONUCSYN-RXN: (expasy) Phosphoribosylamine--glycine ligase [6.3.4.13],1.83485,0,19.3043,89.1112,0,42.1639
GMP-REDUCT-RXN: (expasy) GMP reductase [1.7.1.7],0,0,0,0,0,0
GMP-SYN-GLUT-RXN: (expasy) GMP synthase (glutamine-hydrolyzing) [6.3.5.2],2.04923,67.8741,97.4872,131.923,0,0
GPH-RXN: (expasy) Phosphoglycolate phosphatase [3.1.3.18],0,0,77.4251,0,0,0
GPPSYN-RXN: (expasy) Dimethylallyltranstransferase [2.5.1.1],0,0,67.3173,55.1574,84.7058,0
"GSAAMINOTRANS-RXN: (expasy) Glutamate-1-semialdehyde 2,1-aminomutase [5.4.3.8]",0.811672,0,116.854,26.1587,0,61.6122
GSADENYLATION-RXN: (expasy) [Glutamine synthetase] adenylyltransferase [2.7.7.42],0,0,0,0,0,0
GSDEADENYLATION-RXN: (expasy) [Glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [2.7.7.89],0,0,0,0,0,0
GSHTRAN-RXN: (expasy) Glutathione transferase [2.5.1.18],0.928291,0,113.047,0,0,216.574
GSPSYN-RXN: (expasy) AMBIGUOUS [6.3.1.8; 6.3.1.9],0,0,0,0,0,0
GST-RXN: (expasy) Glutathione transferase [2.5.1.18],0.928291,0,113.047,0,0,216.574
GTP-CYCLOHYDRO-I-RXN: (expasy) GTP cyclohydrolase I [3.5.4.16],1.09091,0,184.586,152.813,0,0
GTP-CYCLOHYDRO-II-RXN: (expasy) GTP cyclohydrolase II [3.5.4.25],0,0,127.315,55.3357,0,0
GTPPYPHOSKIN-RXN: (expasy) GTP diphosphokinase [2.7.6.5],0,0,36.6231,70.0259,0,0
GUANIDINOBUTANAMIDE-NH3-RXN: (expasy) Amidase [3.5.1.4],0,0,74.2349,0,0,0
GUANIDINOBUTYRASE-RXN: (expasy) Guanidinobutyrase [3.5.3.7],0,0,0,0,0,0
GUANIDINOPROPIONASE-RXN: (expasy) Guanidinopropionase [3.5.3.17],1.19036,0,42.3747,108.591,0,0
GUANINE-DEAMINASE-RXN: (expasy) Guanine deaminase [3.5.4.3],0,17.1506,0,0,0,0
GUANOSINEKIN-RXN: (expasy) Inosine kinase [2.7.1.73],0,0,0,0,0,0
GUANPRIBOSYLTRAN-RXN: (expasy) Hypoxanthine phosphoribosyltransferase [2.4.2.8],0,0,0,0,0,0
GUANYL-KIN-RXN: (expasy) Guanylate kinase [2.7.4.8],0,0,83.0356,280.394,0,0
GUANYLCYC-RXN: (expasy) Guanylate cyclase [4.6.1.2],6.42689,0,0,0,0,0
H2NEOPTERINALDOL-RXN: (expasy) Dihydroneopterin aldolase [4.1.2.25],0,0,101.461,0,0,0
H2PTERIDINEPYROPHOSPHOKIN-RXN: (expasy) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [2.7.6.3],2.4533,0,23.8592,0,0,57.3908
H2PTEROATESYNTH-RXN: (expasy) Dihydropteroate synthase [2.5.1.15],0,0,99.6223,89.4776,0,0
H2SOXIREDPYRO-RXN: (expasy) Sulfhydrogenase [1.12.98.4],0,0,0,0,0,0
HALOACETATE-DEHALOGENASE-RXN: (expasy) Haloacetate dehalogenase [3.8.1.3],0,0,0,0,0,0
HALOALKANE-DEHALOGENASE-RXN: (expasy) Haloalkane dehalogenase [3.8.1.5],0,0,27.5837,122.704,0,0
HAONITRO-RXN: (expasy) Hydroxylamine dehydrogenase [1.7.2.6],0,0,0,0,0,0
HEME-OXYGENASE-DECYCLIZING-RXN: (expasy) Heme oxygenase (biliverdin-producing) [1.14.14.18],0,0,133.722,34.364,0,0
HEMEOSYN-RXN: (metacyc) heme o biosynthesis [2.5.1.141],0.528823,51.5746,13.5491,0,0,0
HEMN-RXN: (expasy) Coproporphyrinogen dehydrogenase [1.3.98.3],0,0,0,0,0,0
HIPPURATE-HYDROLASE-RXN: (expasy) Hippurate hydrolase [3.5.1.32],0,0,0,0,0,0
HISTAMINE-N-METHYLTRANSFERASE-RXN: (expasy) Histamine N-methyltransferase [2.1.1.8],0,0,0,0,0,0
HISTAMINOTRANS-RXN: (expasy) Histidinol-phosphate transaminase [2.6.1.9],0,0,106.851,50.5417,0,0
HISTCYCLOHYD-RXN: (expasy) Phosphoribosyl-AMP cyclohydrolase [3.5.4.19],0,23.3593,82.7743,200.369,0,0
HISTIDINE--TRNA-LIGASE-RXN: (expasy) Histidine--tRNA ligase [6.1.1.21],0.403295,0,106.19,63.3272,0,453.784
HISTIDINE-AMMONIA-LYASE-RXN: (expasy) Histidine ammonia-lyase [4.3.1.3],1.41415,0,55.4629,0,0,0
HISTIDPHOS-RXN: (expasy) Histidinol-phosphatase [3.1.3.15],0.450792,0,18.7215,91.5112,0,0
HISTONE-ACETYLTRANSFERASE-RXN: (expasy) Histone acetyltransferase [2.3.1.48],0,0,0,0,0,0
HISTPRATPHYD-RXN: (expasy) Phosphoribosyl-ATP diphosphatase [3.6.1.31],0,0,57.0374,51.402,0,0
HOLO-ACP-SYNTH-RXN: (expasy) Holo-[acyl-carrier-protein] synthase [2.7.8.7],2.43307,23.3481,10.0778,0,0,0
HOMOCITRATE-SYNTHASE-RXN: (expasy) Homocitrate synthase [2.3.3.14],0,0,0,0,0,0
HOMOCYSMET-RXN: (expasy) 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase [2.1.1.14],0,0,0,0,0,0
HOMOCYSMETB12-RXN: (expasy) Methionine synthase [2.1.1.13],1.34602,0,128.939,61.554,0,0
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN: (expasy) Homocysteine S-methyltransferase [2.1.1.10],0,0,0,0,0,0
"HOMOGENTISATE-12-DIOXYGENASE-RXN: (expasy) Homogentisate 1,2-dioxygenase [1.13.11.5]",3.35887,0,83.3253,0,0,0
HOMOSERDEAM-RXN: (expasy) Cystathionine gamma-lyase [4.4.1.1],0,0,34.7287,0,0,0
HOMOSERDEHYDROG-RXN: (expasy) Homoserine dehydrogenase [1.1.1.3],0,25.478,128.812,0,0,0
HOMOSERINE-O-ACETYLTRANSFERASE-RXN: (expasy) Homoserine O-acetyltransferase [2.3.1.31],0.801057,0,135.352,0,0,0
HOMOSERKIN-RXN: (expasy) Homoserine kinase [2.7.1.39],0.498574,0,55.6348,118.426,0,0
HOMSUCTRAN-RXN: (expasy) Homoserine O-succinyltransferase [2.3.1.46],0,0,0,0,0,0
HYALURONATE-LYASE-RXN: (expasy) Hyaluronate lyase [4.2.2.1],0,0,0,0,0,0
HYDROG-RXN: (expasy) Ferredoxin hydrogenase [1.12.7.2],0,0,42.8774,0,0,0
HYDROGEN-DEHYDROGENASE-RXN: (expasy) Hydrogen dehydrogenase [1.12.1.2],0,0,39.5228,0,0,0
HYDROXY-MANDELATE-RACEMASE-RXN: (metacyc) hydroxymandelate racemase [5.1.2.2],0,0,0,0,0,0
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN: (metacyc) Hydroxybenzoylformate decarboxylase [4.1.1.7],0,0,0,0,0,0
"HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN: (expasy) 2-oxo-hept-4-ene-1,7-dioate hydratase [4.2.1.163]",0,0,0,0,0,0
HYDROXYLAMINE-REDUCTASE-RXN: (expasy) Hydroxylamine reductase [1.7.99.1],0,0,28.4342,0,0,0
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN: (expasy) Hydroxymethylglutaryl-CoA lyase [4.1.3.4],0,0,0,0,0,0
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN: (expasy) Hydroxymethylglutaryl-CoA reductase [1.1.1.88],0,0,0,0,0,0
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN: (expasy) Hydroxymethylglutaryl-CoA synthase [2.3.3.10],0,0,0,0,0,0
HYDROXYPYRUVATE-REDUCTASE-RXN: (expasy) Hydroxypyruvate reductase [1.1.1.81],0,0,0,0,133.367,0
HYPOXANPRIBOSYLTRAN-RXN: (expasy) Hypoxanthine phosphoribosyltransferase [2.4.2.8],0,0,0,0,0,0
IGPSYN-RXN: (expasy) Indole-3-glycerol-phosphate synthase [4.1.1.48],0,0,73.2452,0,0,0
ILEDEAMINE-RXN: (metacyc) isoleucine dehydrogenase [1.4.1.9],0,0,0,0,0,0
IMIDAZOLONEPROPIONASE-RXN: (expasy) Imidazolonepropionase [3.5.2.7],1.02549,0,23.242,142.691,0,0
IMIDPHOSDEHYD-RXN: (expasy) Imidazoleglycerol-phosphate dehydratase [4.2.1.19],3.56188,0,73.6403,223.549,0,0
IMP-DEHYDROG-RXN: (expasy) IMP dehydrogenase [1.1.1.205],3.54181,0,145.144,50.3311,0,0
IMPCYCLOHYDROLASE-RXN: (expasy) IMP cyclohydrolase [3.5.4.10],0,0,173.855,0,0,0
INOPHOSPHOR-RXN: (expasy) Purine-nucleoside phosphorylase [2.4.2.1],3.17011,0,0,159.171,0,0
INORGPYROPHOSPHAT-RXN: (expasy) Inorganic diphosphatase [3.6.1.1],0.990936,0,153.275,242.093,84.4756,0
INOSINEKIN-RXN: (expasy) Inosine kinase [2.7.1.73],0,0,0,0,0,0
IPPISOM-RXN: (expasy) Isopentenyl-diphosphate Delta-isomerase [5.3.3.2],0,0,61.8142,0,0,0
ISOBUTYRYL-COA-MUTASE-RXN: (expasy) Isobutyryl-CoA mutase [5.4.99.13],0,0,22.0955,0,0,0
ISOCHORMAT-RXN: (expasy) Isochorismatase [3.3.2.1],0,0,36.9636,0,0,0
ISOCHORSYN-RXN: (expasy) Isochorismate synthase [5.4.4.2],0,0,0,0,0,0
ISOCIT-CLEAV-RXN: (expasy) Isocitrate lyase [4.1.3.1],2.2692,106.25,10.0786,0,131.501,0
ISOCITDEH-RXN: (expasy) Isocitrate dehydrogenase (NADP(+)) [1.1.1.42],2.47725,35.9733,231.37,507.552,89.7603,0
ISOCITRATE-DEHYDROGENASE-NAD+-RXN: (expasy) AMBIGUOUS [1.1.1.286; 1.1.1.41],0,0,0,0,0,0
ISOHEXENYLGLUTACONYL-COA-HYDRATASE-RXN: (expasy) Isohexenylglutaconyl-CoA hydratase [4.2.1.57],0,0,0,0,0,0
ISOLEUCINE--TRNA-LIGASE-RXN: (expasy) Isoleucine--tRNA ligase [6.1.1.5],0,0,28.2885,0,0,0
ISOVALERYLCOA-DHLIPOAMIDE-RXN: (metacyc) dihydrolipoyllysine-residue (3-methylbutanoyl)transferase [2.3.1.168],0,0,0,0,0,0
ISPH2-RXN: (expasy) 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [1.17.7.4],0.789239,0,79.0086,125.457,0,0
KDGALDOL-RXN: (expasy) 2-dehydro-3-deoxyglucarate aldolase [4.1.2.20],0,0,0,0,0,0
KDO-8PPHOSPHAT-RXN: (expasy) 3-deoxy-manno-octulosonate-8-phosphatase [3.1.3.45],0,0,12.7978,0,0,0
KDO-8PSYNTH-RXN: (expasy) 3-deoxy-8-phosphooctulonate synthase [2.5.1.55],0,29.512,83.2257,0,0,0
KDPGALDOL-RXN: (expasy) AMBIGUOUS [4.1.2.14; 4.1.2.55],0.540316,0,54.6325,0,0,0
KDUD-RXN: (expasy) 2-deoxy-D-gluconate 3-dehydrogenase [1.1.1.125],0,0,0,0,0,0
KETOACYLCOATHIOL-RXN: (expasy) Acetyl-CoA C-acyltransferase [2.3.1.16],0,0,56.2337,119.244,0,0
KETOGLUTREDUCT-RXN: (expasy) 2-oxoglutarate reductase [1.1.1.399],0,0,29.9186,0,0,0
KETOISOCAPROATE-RXN: (metacyc) 4-methyl-2-oxopentanoate dehydrogenase (lipoamide) [1.2.4.4],0.640484,0,31.3278,57.7965,83.883,0
KETOLACTOSE-RXN: (expasy) Beta-galactosidase [3.2.1.23],3.74929,0,0,0,0,0
KYNURENINASE-RXN: (expasy) Kynureninase [3.7.1.3],0,0,8.10243,0,0,0
KYNURENINE-3-MONOOXYGENASE-RXN: (expasy) Kynurenine 3-monooxygenase [1.14.13.9],0,0,0,0,0,0
L-ARABINONATE-DEHYDRATASE-RXN: (expasy) L-arabinonate dehydratase [4.2.1.25],0,0,0,0,0,0
L-ASPARTATE-OXID-RXN: (expasy) L-aspartate oxidase [1.4.3.16],0,0,90.0688,0,0,0
L-GLN-FRUCT-6-P-AMINOTRANS-RXN: (expasy) Glutamine--fructose-6-phosphate transaminase (isomerizing) [2.6.1.16],0.67262,0,171.728,59.5048,0,0
L-IDITOL-2-DEHYDROGENASE-RXN: (expasy) L-iditol 2-dehydrogenase [1.1.1.14],0,0,0,0,0,0
L-IDONATE-2-DEHYDROGENASE-RXN: (metacyc) L-idonate 2-dehydrogenase [1.1.1.264],0,0,0,0,0,0
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN: (expasy) L-lactate dehydrogenase (cytochrome) [1.1.2.3],0,45.9385,0,0,126.206,32.71
L-LACTATE-DEHYDROGENASE-RXN: (expasy) L-lactate dehydrogenase [1.1.1.27],1.14024,0,0,0,0,0
L-RHAMNONATE-DEHYDRATASE-RXN: (expasy) L-rhamnonate dehydratase [4.2.1.90],0,0,0,0,0,0
L-XYLULOSE-REDUCTASE-RXN: (expasy) L-xylulose reductase [1.1.1.10],0,0,0,0,0,0
LACTALDDEHYDROG-RXN: (expasy) Lactaldehyde dehydrogenase [1.2.1.22],0,0,35.8564,0,0,0
LACTOSE-6-PHOSPHATE-ISOMERASE-RXN: (expasy) Galactose-6-phosphate isomerase [5.3.1.26],0,0,0,0,0,0
LACTOSE6P-HYDROXY-RXN: (metacyc) 6-phospho-lactosidase [3.2.1.85],0,0,0,0,0,0
LAUROYLACYLTRAN-RXN: (expasy) Kdo(2)-lipid IV(A) lauroyltransferase [2.3.1.241],0,0,0,0,0,0
LEUCINE--TRNA-LIGASE-RXN: (expasy) Leucine--tRNA ligase [6.1.1.4],0,61.7743,87.9732,167.829,0,0
LEUCINE-DEHYDROGENASE-RXN: (expasy) Leucine dehydrogenase [1.4.1.9],0,0,0,0,0,0
LEUCYLTRANSFERASE-RXN: (expasy) Lysine/arginine leucyltransferase [2.3.2.6],0.94614,0,104.002,198.024,0,0
LINB1-RXN: (expasy) Haloalkane dehalogenase [3.8.1.5],0,0,27.5837,122.704,0,0
LINB2-RXN: (expasy) Haloalkane dehalogenase [3.8.1.5],0,0,27.5837,122.704,0,0
LINOLENOYL-RXN: (expasy) Long-chain-fatty-acid--CoA ligase [6.2.1.3],0,0,39.8363,108.703,0,0
LIPIDADISACCHARIDESYNTH-RXN: (expasy) Lipid-A-disaccharide synthase [2.4.1.182],0,0,19.5562,0,0,35.4685
"LIPIDXSYNTHESIS-RXN: (expasy) UDP-2,3-diacylglucosamine diphosphatase [3.6.1.54]",0,0,0,0,0,0
LONG-CHAIN-ACYL-COA-DEHYDROGENASE-RXN: (expasy) Long-chain-acyl-CoA dehydrogenase [1.3.8.8],0,0,0,0,0,0
LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN: (expasy) Long-chain-aldehyde dehydrogenase [1.2.1.48],0,0,0,0,0,0
LTAA-RXN: (expasy) AMBIGUOUS [4.1.2.48; 4.1.2.49],0,0,0,0,0,0
"LUMAZINESYN-RXN: (expasy) 6,7-dimethyl-8-ribityllumazine synthase [2.5.1.78]",1.27435,0,9.35402,52.9801,0,117.713
LXULRU5P-RXN: (expasy) L-ribulose-5-phosphate 3-epimerase [5.1.3.22],0.696218,0,0,0,0,0
LYSINE--TRNA-LIGASE-RXN: (expasy) Lysine--tRNA ligase [6.1.1.6],1.58356,0,160.55,82.8802,0,130.365
"LYSINE-23-AMINOMUTASE-RXN: (expasy) Lysine 2,3-aminomutase [5.4.3.2]",0,0,0,0,0,0
LYSOPHOSPHOLIPASE-RXN: (expasy) Lysophospholipase [3.1.1.5],0,0,0,0,0,0
LYSYLTRANSFERASE-RXN: (expasy) Lysyltransferase [2.3.2.3],0,0,0,0,0,0
MALATE--COA-LIGASE-RXN: (expasy) Malate--CoA ligase [6.2.1.9],0,0,0,0,0,0
MALATE-DEH-RXN: (expasy) Malate dehydrogenase [1.1.1.37],1.43205,60.7674,284.756,365.845,0,108.287
MALATE-DEHYDROGENASE-ACCEPTOR-RXN: (expasy) Malate dehydrogenase (quinone) [1.1.5.4],2.03881,0,59.8656,0,0,0
MALEATE-ISOMERASE-RXN: (expasy) Maleate isomerase [5.2.1.1],0,0,0,0,0,0
MALEYLACETATE-REDUCTASE-RXN: (expasy) Maleylacetate reductase [1.3.1.32],0,0,0,0,0,0
MALEYLACETOACETATE-ISOMERASE-RXN: (expasy) Maleylacetoacetate isomerase [5.2.1.2],0,0,0,0,0,0
MALIC-NADP-RXN: (expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)) [1.1.1.40],0.98931,35.7943,29.4205,229.337,0,0
MALONYL-COA-ACP-TRANSACYL-RXN: (expasy) [Acyl-carrier-protein] S-malonyltransferase [2.3.1.39],0.684418,44.2907,179.395,0,0,0
MALSYN-RXN: (expasy) Malate synthase [2.3.3.9],0.897348,0,0,56.7111,0,0
MALTACETYLTRAN-RXN: (expasy) Maltose O-acetyltransferase [2.3.1.79],0,0,0,0,0,0
MALTODEXGLUCOSID-RXN: (expasy) Alpha-glucosidase [3.2.1.20],0,0,37.9052,0,0,0
MALTOSE-PHOSPHORYLASE-RXN: (expasy) Maltose phosphorylase [2.4.1.8],0,0,15.9247,0,0,0
MALYL-COA-LYASE-RXN: (expasy) Malyl-CoA lyase [4.1.3.24],0,0,0,0,0,0
MANDELATE-DEHYDROGENASE-RXN: (expasy) (S)-mandelate dehydrogenase [1.1.99.31],0,0,12.4758,0,0,0
MANDELATE-RACEMASE-RXN: (expasy) Mandelate racemase [5.1.2.2],0,0,0,0,0,0
MANNITOL-2-DEHYDROGENASE-RXN: (expasy) Mannitol 2-dehydrogenase [1.1.1.67],0,0,0,0,0,0
MANNONDEHYDRAT-RXN: (expasy) Mannonate dehydratase [4.2.1.8],0,0,0,0,0,0
MANNONOXIDOREDUCT-RXN: (expasy) Fructuronate reductase [1.1.1.57],0,0,0,0,0,0
MANNPDEHYDROG-RXN: (expasy) Mannitol-1-phosphate 5-dehydrogenase [1.1.1.17],0,0,0,0,0,0
MANNPGUANYLTRANGDP-RXN: (expasy) Mannose-1-phosphate guanylyltransferase (GDP) [2.7.7.22],0,0,0,0,0,0
MANNPISOM-RXN: (expasy) Mannose-6-phosphate isomerase [5.3.1.8],0,0,30.8182,0,0,0
MBCOA-DHLIPOAMIDE-RXN: (metacyc) dihydrolipoyllysine-residue (2-methylbutanoyl)transferase [2.3.1.168],0,0,0,0,0,0
MCHMBARK-RXN: (expasy) Methenyltetrahydromethanopterin cyclohydrolase [3.5.4.27],0,0,0,0,0,0
MCPMETEST-RXN: (expasy) Protein-glutamate methylesterase [3.1.1.61],0,0,46.5452,0,0,0
MERCAPYSTRANS-RXN: (expasy) 3-mercaptopyruvate sulfurtransferase [2.8.1.2],0,0,16.0416,71.4762,0,0
MERCURY-II-REDUCTASE-RXN: (expasy) Mercury(II) reductase [1.16.1.1],0,0,18.2626,0,0,0
METHANETHIOL-OXIDASE-RXN: (expasy) Methanethiol oxidase [1.8.3.4],0,0,10.9544,0,0,0
METHANOL-DEHYDROGENASE-RXN: (expasy) Methanol dehydrogenase [1.1.1.244],0,0,0,0,0,0
METHENYLTHFCYCLOHYDRO-RXN: (expasy) Methenyltetrahydrofolate cyclohydrolase [3.5.4.9],2.0697,45.5358,153.328,0,0,80.3421
METHGLYSYN-RXN: (expasy) Methylglyoxal synthase [4.2.3.3],0,0,26.8105,55.9235,0,0
METHIONINE--TRNA-LIGASE-RXN: (expasy) Methionine--tRNA ligase [6.1.1.10],1.45723,35.7943,136.544,204.537,57.5067,0
METHIONINE-GAMMA-LYASE-RXN: (expasy) Methionine gamma-lyase [4.4.1.11],0,0,53.4716,0,0,0
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN: (expasy) Methionyl-tRNA formyltransferase [2.1.2.9],0.997739,0,44.4973,0,0,0
METHYLACETOACETYLCOATHIOL-RXN: (expasy) Acetyl-CoA C-acyltransferase [2.3.1.16],0,0,56.2337,119.244,0,0
METHYLACYLYLCOA-HYDROXY-RXN: (metacyc) Methylacrylyl-CoA hydratase [4.2.1.17],5.94545,0,339.792,581.044,0,0
METHYLASPARTATE-AMMONIA-LYASE-RXN: (expasy) Methylaspartate ammonia-lyase [4.3.1.2],0,0,0,0,0,0
METHYLASPARTATE-MUTASE-RXN: (expasy) Methylaspartate mutase [5.4.99.1],0,0,39.8628,0,0,0
METHYLCROTONYL-COA-CARBOXYLASE-RXN: (expasy) Methylcrotonoyl-CoA carboxylase [6.4.1.4],0,0,50.5109,0,0,0
METHYLENETHFDEHYDROG-NADP-RXN: (expasy) Methylenetetrahydrofolate dehydrogenase (NADP(+)) [1.5.1.5],2.0697,45.5358,173.996,0,0,80.3421
METHYLGLUTACONYL-COA-HYDRATASE-RXN: (expasy) Methylglutaconyl-CoA hydratase [4.2.1.18],0,0,0,0,0,0
METHYLISOCITRATE-LYASE-RXN: (expasy) Methylisocitrate lyase [4.1.3.30],0,0,0,0,0,0
METHYLITACONATE-DELTA-ISOMERASE-RXN: (expasy) Methylitaconate Delta-isomerase [5.3.3.6],0,0,0,0,0,0
