,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_013_DLAB_S43,122021_Coralina_2021_Baya_015_DLAB_S44,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31,122021_Coralina_2021_Baya_025_MMEA_S22,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_029_MMEA_S23,122021_Coralina_2021_Baya_031_MMEA_S45,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33,Sum
2907186,29.939735589363696,0.0,0.0,0.0,0.0,43.206095617631135,33.88017549930909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.00691028450369,0.0,41.02984921530413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.06276620611175
1755828,29.084314572524733,0.0,76.17029027504098,0.0,0.0,0.0,19.36010028531948,0.0,0.0,0.0,0.0,0.0,246.73618821616992,0.0,0.0,110.5375440768457,0.0,216.2969954380997,64.96392792423154,95.40234102667597,226.1858601525139,0.0,47.851032898724426,0.0,0.0,110.24214362605865,88.22471513596786,0.0,1331.055453628173
1106,29.084314572524733,128.76273320361682,62.923283270686035,0.0,0.0,111.8275415985747,102.85053276575972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.74674716541948,0.0,143.60447225356447,41.58563583214081,0.0,0.0,52.40827412717437,0.0,0.0,0.0,0.0,0.0,785.7935347894612
2497645,29.084314572524733,0.0,0.0,0.0,0.0,0.0,0.0,115.16756881262236,59.21969970228642,0.0,0.0,0.0,0.0,0.0,0.0,143.6988072998994,23.640446986297633,0.0,0.0,266.63731210019694,0.0,0.0,63.80137719829924,0.0,130.58549788688921,285.33260703215177,217.16852956545932,332.41611110085137,1666.7522722574784
2545690,29.084314572524733,0.0,0.0,0.0,0.0,58.455305835618596,14.520075213989609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.09593475236632,0.0,0.0,56.262919067014025,0.0,0.0,25.0648267564747,0.0,0.0,0.0,0.0,0.0,212.48337619798798
2842328,29.084314572524733,0.0,0.0,0.0,57.56540214666617,185.53205765218078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.72505779180274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.90683216317444
423358,29.084314572524733,0.0,62.923283270686035,0.0,94.19793078545375,38.12302554496865,15.730081481822076,0.0,0.0,0.0,0.0,0.0,116.11114739584468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.47830769893584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.6480907502358
1738654,28.228893555685772,0.0,0.0,132.75217381684627,115.13080429333235,157.5751722525371,448.9123253658454,0.0,204.57714442608037,410.6101667077277,0.0,165.93838154765197,123.36809410808496,0.0,0.0,121.59129848453027,25.458942908320527,0.0,0.0,0.0,0.0,0.0,36.457929827599564,0.0,0.0,0.0,0.0,0.0,1970.6013272942423
2036754,28.228893555685772,0.0,178.83459455879188,169.6277776548591,183.16264319393784,432.0609561763114,284.35147294062983,0.0,86.13774502150751,177.93107224001534,0.0,0.0,0.0,0.0,0.0,0.0,172.757112592175,0.0,116.25123944336171,34.246994214704195,0.0,0.0,38.736550441824534,0.0,0.0,0.0,0.0,0.0,1902.3270520338042
2691358,28.228893555685772,0.0,0.0,0.0,0.0,0.0,31.46016296364415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.832630046845,0.0,0.0,22.78620614224973,0.0,0.0,0.0,0.0,0.0,158.30789270842467
